Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3380,1U2,1,1,3,1,3,4,3,2,1,,,,2,,,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,,eaw016100,elizabeth pickett
BIOL,3380,1U3,1,,2,2,6,4,,2,1,3,1,,,,,"Rippel, Scott A","Konduri, Purna Chaitanya",,,,,rippel,scott rippel
BIOL,3380,1U4,2,3,4,,3,1,,2,,1,1,1,1,,,"Pickett, Elizabeth A","Wang, Tianyuan",,,,,eaw016100,elizabeth pickett
BIOL,3455,0U1,1,15,23,16,19,15,6,6,1,3,,1,3,,,"Ramirez, Ruben D","Zhang, Bei","Daescu, Kelly J","Zhang, Bo",,,rdr092000,ruben ramirez
BIOL,3456,1U1,1,6,2,3,1,5,,3,,,1,,,,,"Yu, Wen H",,,,,,why061000,wen ho yu
BIOL,3456,1U2,1,6,4,5,4,3,1,1,1,,,,,,,"Yu, Wen H",,,,,,why061000,wen ho yu
BIOL,3520,3U1,10,12,1,4,2,1,,,,,,,,,,"Mehta, Iti","Ebrahimzadeh Pirshahid, Tahmineh","Ratna, Tahira Amdid","Sawant, Namrata V",,,ixm121430,iti mehta
BIOL,3520,3U2,5,11,7,1,3,1,1,1,,,,,,,,"Mehta, Iti","Sharon, Belle M","Dahl, Haley C",,,,ixm121430,iti mehta
BIOL,4353,5U1,2,11,5,1,7,2,,3,,,1,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,,burr,john burr
BIOL,4366,5U1,2,7,,,5,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,,burr,john burr
BIOL,4380,1U1,,5,2,7,7,,,1,1,,,,,,,"Braitsch, Caitlin M","Nowak, Chance M","Parekh, Trusha",,,,ixb053000,irina borovkov
BIOL,6341,5U1,,15,,,4,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,,burr,john burr
BIOL,6345,5U1,,13,1,1,1,,,,,,,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,,burr,john burr
