Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,004,2,18,9,6,10,4,,,,,,,,,,,,,0,rxb154430,rita bargerhuff egeland
"Corbin, Sonja C",,,,,,MKT,3300,005,2,11,10,12,4,5,1,,,,,,1,,,,,,2,jpk036000,jamie kernohan
"Pacyna, Sandra",,,,,,MKT,3300,006,6,16,6,8,3,3,2,3,,,1,,,,,,,,0,bxl131330,bo ram lim
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,007,2,8,14,8,10,5,,1,1,,,,,,,,,,0,exm150330,edward meda
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,5E1,,4,9,5,6,6,3,,1,,1,,1,,,,,,0,exm150330,edward meda
"Amirpour, Semiramis",,,,,,MKT,3330,005,2,6,8,1,,6,,3,,,,1,,,,,,,2,sxa130731,semiramis amirpour
"Rajaratnam, Daniel",,,,,,MKT,3340,501,,4,,7,16,3,2,2,,,,,,,,,,,0,dxr143430,daniel rajaratnam
"Corbin, Sonja C",,,,,,MKT,4340,001,1,8,14,12,7,,,,,,,,1,,,,,,2,scc130530,sonja corbin
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,4350,001,,3,3,1,3,,1,,1,,,,,,,,,,0,axb019100,abhijit biswas
"Haworth, Julie B",,,,,,MKT,4380,001,2,26,16,2,1,,1,,,,,,,,,,,,0,haworth,julie haworth
"Pahwa, Parneet","Sikdar, Sathi","Shyam, Nikhil",,,,MKT,6301,0W1,,11,12,8,6,7,,,,,,,,,,,,,0,axb019100,abhijit biswas
"Rajaratnam, Daniel",,,,,,MKT,6309,501,,5,1,1,2,,,,,,,,,,,,,,0,aprasad,ashutosh prasad
"Biswas, Abhijit","Kasaraneni, Uma Sankar",,,,,MKT,6310,0W1,,17,8,15,8,,1,,,,,,,,,,,,0,axb019100,abhijit biswas
"Kumar, Nanda","Bhave, Ashutosh C",,,,,MKT,6323,001,,3,2,3,5,,,,,,,,,,,,,,0,nkumar,nanda kumar
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6329,501,,6,2,6,6,,,,,,,,,,,,,,0,nxb018100,norris bruce
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6330,0W1,,4,10,10,8,4,,,,,,,,,,,,,1,axb019100,abhijit biswas
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6332,501,,5,7,11,7,6,2,2,,,,,,,,,,,0,axb019100,abhijit biswas
"Subramanian, Upender","Lim, Bo Ram",,,,,MKT,6339,501,,7,3,15,5,,,,,,,,,,,,,,0,uxs092000,upender subramanian
"DeCourcy, George A",,,,,,REAL,3305,001,3,2,1,2,7,1,2,3,1,2,,,2,,,,,,0,rxg112530,randall guttery
"Guttery, Randall",,,,,,REAL,6321,001,,2,,,5,1,,,,,,,,,,,,,1,rxg112530,randall guttery
"Crumpecker, Brad",,,,,,REAL,6323,501,,1,2,1,,,,,,,,,,,,,,,1,bxc122130,
"Ritchey, David B",,,,,,OBHR,3310,001,4,12,10,4,7,5,1,,4,,,,,,,,,1,0,davidr,david ritchey
