Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ATCM,2340,0W1,,46,,,38,,,7,,,,,4,,,,,5,"Lester, Paul","Doust-Haghighi, Elham","Fladager, Evan J",,,,pxl152030,paul lester
ATCM,2345,001,3,6,2,4,1,3,1,3,1,,1,,2,,,,,3,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
ATCM,2345,002,5,2,4,4,3,3,1,,,,,,7,,,,,1,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
ATCM,2345,003,6,2,4,1,2,1,1,1,,,1,,7,,,,,4,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
ATCM,2345,004,3,11,5,2,,2,1,1,,,,,1,,,,,3,"Marks, David E",,,,,,dem160430,david marks
ATCM,2350,001,23,,5,,,1,,,,,,,,,,,,1,"Hoggatt, Zane C",,,,,,,zane hoggatt
ATCM,2350,002,13,11,,,1,,,,,,1,,1,,,,,2,"Trosper, Elizabeth M",,,,,,emt130130,elizabeth trosper
ATCM,2350,0W1,1,13,7,1,2,,1,1,,,,,1,,,,,3,"Dufour, Frank",,,,,,,frank dufour
ATCM,2360,001,20,3,5,2,2,2,,3,3,,,,3,,,,,1,"Cox, Norman L",,,,,,nlc200001,norman cox
ATCM,2375,0W1,5,86,4,,3,,,,2,,,1,2,,,,,3,"Evans, Monica J","Gupta, Suvash","Wu, Benjamin",,,,mevans,monica evans
ATCM,3301,001,,3,5,6,2,3,,,,,,,,,,,,0,"Imaoka, Laura","Hitt, Katherine A",,,,,lxi170030,laura imaoka
ATCM,3301,002,,2,6,5,2,1,,2,,,,,1,,,,,0,"Imaoka, Laura","Del Gallo, Rinaldo",,,,,lxi170030,laura imaoka
ATCM,3301,003,2,8,4,1,1,,,,,,,,2,,,,,1,"Heaslip, Audra",,,,,,axh027000,audra heaslip
ATCM,3301,004,3,6,3,1,,3,,,,,,1,2,,,,,0,"Heaslip, Audra",,,,,,axh027000,audra heaslip
