Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIS,3320,091,3,8,5,2,2,,1,2,3,,,,3,,,,0,"Wright, David A",,,,,,jxh100220,jennifer hudson
BIS,3320,0U1,4,3,2,2,4,2,2,1,1,1,,,3,,,,0,"Wright, David A",,,,,,wright,david wright
BIS,4306,0W1,3,1,1,,1,,2,,,,,,3,,,,1,"Simpson, Carrie M",,,,,,cms131030,carrie simpson
BLAW,2301,5U1,,5,,7,2,3,3,2,2,,3,,2,,,,2,"Betanzos, Christina L",,,,,,clb120030,christina betanzos
BMEN,3150,1W1,1,3,2,3,4,1,1,,,,,,,,,,2,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,3320,0W1,2,5,,2,6,1,1,,,,,,1,,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali
BMEN,3350,0W1,,1,4,3,4,1,1,,,,,,1,,,,1,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,4301,5U1,4,8,1,2,1,,,,,,,,,,,,0,"Porter, Benjamin A","Gonzales, Phillip A",,,,,bap061000,benjamin porter
BMEN,4388,0U1,1,3,12,5,1,,,,,,,,,,,,0,"Polk, Todd W","Subramanian, Divya",,,,,twp017000,todd polk
BPS,4305,5E1,11,5,4,2,4,2,1,2,,4,,,3,,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
BPS,4305,5U1,3,9,9,7,7,3,2,,1,,,,1,,,,0,"Kim, Dong Shin",,,,,,smc130730,shawn carraher
BPS,4395,0U1,,35,,,14,,,,,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks
BPS,6310,0W1,,34,5,1,3,2,,1,,,,,1,,,,1,"Kaplan, Marilyn R",,,,,,chasteen,larry chasteen
BPS,7303,0U1,,19,,,,,,,,,,,,,,,0,"Watson, John M",,,,,,jmw077000,john watson
BUAN,6311,SS1,,9,6,7,1,1,1,,,,,,,,,,0,"Scott, James A",,,,,,jas076100,james scott
BUAN,6312,0W1,,4,6,7,4,,3,4,,,,,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein
BUAN,6337,5U1,,7,4,9,4,2,1,,,,,,,,,,1,"Chatterjee, Sourav","Qian, Kun",,,,,mxg153330,mike grigsby
BUAN,6340,5U1,,22,4,3,3,3,1,2,,,,,2,,,,5,"Parker, Jason A",,,,,,jap090020,jason parker
BUAN,6340,SH1,,10,6,,4,1,,3,,,,,,,,,3,"Parker, Jason A",,,,,,jap090020,jason parker
