Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Borovkov, Irina G","Yetkin, Celal E","Upreti, Chahat","Wang, Tianyuan","Zhou, Qin",,BIOL,3301,0U1,7,14,17,11,8,12,6,11,4,2,4,10,8,,,,,,1,ixb053000,irina borovkov
"Hudson, Jennifer M",,,,,,BIS,3320,091,4,4,9,,,,,,,,,,2,,,,,,,jxh100220,jennifer hudson
"Wright, David A",,,,,,BIS,3320,0U1,4,8,4,1,3,1,,2,,,1,,,,,,,,,wright,david wright
"Robinson, Katie L","Edwards, Christopher W",,,,,BIS,3190,0W1,12,7,1,1,2,2,,1,1,1,,,2,,,,,,,cwe011000,christopher edwards
"Betanzos, Christina L",,,,,,BLAW,2301,5U1,2,4,9,2,9,3,5,4,4,,1,,1,,,,,,,clb120030,christina betanzos
"Ali, Tariq M",,,,,,BMEN,3320,051,2,4,2,,2,,2,1,,,,,,,,,,,,tma051000,tariq ali
"Polk, Todd W",,,,,,BMEN,4388,0U1,,6,8,5,7,1,,,,,,,,,,,,,,twp017000,todd polk
"Watson, John M",,,,,,BPS,7303,0U1,,14,,,,,,,,,,,,,,,,,,jmw077000,john watson
"Carraher, Shawn M",,,,,,BPS,4305,5E1,16,3,2,3,1,2,,,,1,1,,1,,,,,,,smc130730,shawn carraher
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,6310,MBP,,22,,9,2,,,1,,,,,,,,,,,,chasteen,larry chasteen
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,41,2,1,1,,,1,,,,,,,,,,,3,chasteen,larry chasteen
"Carraher, Shawn M",,,,,,BPS,4305,5U1,40,4,3,,,,1,,1,,1,,,,,,,,1,smc130730,shawn carraher
"Carraher, Shawn M",,,,,,BPS,4305,0U1,33,10,4,,1,3,,1,1,,,,1,,,,,,,smc130730,shawn carraher
"Saeed, Kashif","Zhang, Haozhao",,,,,BUAN,6345,0W1,,4,4,2,2,,,,,,,,,,,,,,,kxs147230,kashif saeed
"Johnston, Walter L",,,,,,BUAN,6356,5U1,,13,,,,,1,,,,,,,,,,,,1,wlj031000,walter johnston
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,BUAN,6320,0W1,,7,6,2,3,,2,1,,,,,,,,,,,1,huseyin,huseyin cavusoglu
"Subramanian, Upender","Bhave, Ashutosh C",,,,,BUAN,6337,0W1,,3,7,3,3,2,2,1,,,,,1,,,,,,2,uxs092000,upender subramanian
"Blueshtein, Moran","Wang, Hui",,,,,BUAN,6312,0W1,,6,2,9,3,7,,,,,,,,,,,,,,mxb135230,moran blueshtein
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6356,5U2,,28,4,,1,,,,,,,,,,,,,,1,jap090020,jason parker
"Alimirzaei, Athena","Armaghan, Milad",,,,,BUAN,6398,5U1,,33,1,2,2,,,,,,,,,,,,,,1,axa134231,athena alimirzaei
"Grigsby, Mike",,,,,,BUAN,6337,5U1,,14,5,5,18,,,1,,,,,,,,,,,2,mxg153330,mike grigsby
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,BUAN,6398,5U2,,22,3,12,7,,1,1,,,,,1,,,,,,,asethi,awanti sethi
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6340,5U1,,67,1,1,,,,,,,,,,,,,,,,jap090020,jason parker
"Liu, Jin","Xiong, Jiu","Choi, Ye I",,,,CE,3101,1U2,,8,2,,,,,,,,,,,,,,,,,jinliu,jin liu
"Ozbirn, Greg A","Fan, Zhenbao",,,,,CE,3345,0U1,,,3,,4,1,,1,,,1,,,,,,,,,ozbirn,greg ozbirn
"Kehtarnavaz, Nasser","Wei, Haoran","Abdelgelil, Mahmoud E",,,,CE,3102,1U2,3,3,2,,2,1,,,,,,,,,,,,,,nxk019000,nasser kehtarnavaz
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4389,0U1,3,2,4,3,,,,,,,,,,,,,,,,dinesh,dinesh bhatia
"Davis, Chris I","Varanasi, Sarat Chandra","Solanki, Nidhiben M",,,,CE,4337,0U1,,2,2,,1,5,2,,,1,,,,,,,,,,cid021000,chris davis
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4388,0U1,,6,3,3,2,,,,,,,,,,,,,,,dinesh,dinesh bhatia
"Ardestani Khoubrouy, Soudeh","Birjandtalab Golkhatm, Javad",,,,,CE,3302,0U1,1,3,6,1,2,1,,2,1,,,,,,,,,,,sxa074200,soudeh khoubrouy
"Pourkamali, Siavash","Shahshahani, Masoud",,,,,CE,3311,0U1,3,6,,,3,1,1,1,1,,1,,,,,,,,,sxp124631,siavash pourkamali
"Kiasaleh, Kamran",,,,,,CE,3301,0U1,,4,,,2,2,1,3,4,,6,,1,,,,,,,kamran,kamran kiasaleh
"Sra, Amandeep K","Calubaquib, Erika Joy",,,,,CHEM,1111,1U2,2,7,3,,2,,1,2,,,,,1,,,,,,,aks057000,amandeep sra
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,CHEM,3361,0U1,,1,3,2,5,,,3,2,1,1,,1,,,,,,1,candas,mehmet candas
"Gavva, Sandhya R","Li, Siqing","Malekpour, Soheil",,,,CHEM,1112,1U1,3,5,4,4,1,,,,1,,,,2,,,,,,,sgavva,sandhya gavva
