Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
NSC,4V90,002,,37,,,6,,,5,,,,,,1,,,1,"Thorn, Catherine A","Tseng, Ching-Tzu",,,,,amoller,aage moller
NSC,4V90,003,2,4,2,1,1,1,1,2,,,1,2,,,1,,0,"Solodkin, Ana J",,,,,,dck061000,daniel krawczyk
NSC,4V90,004,2,28,1,,,,,,,,,,,,,,0,"Shareef, Safiullah M",,,,,,dck061000,daniel krawczyk
OB,6248,CW1,,18,,,1,,,,,,,,,,,,2,"Hicks, Robert",,,,,,,robert hicks
OB,6249,CW1,,31,,,3,,,,,,,,1,,,,3,"Norton, Larry",,,,,,,larry norton
OB,6301,001,,43,,,8,,,1,,,,,3,,,7,1,"Hasenhuttl, Maria","Ladd, Teddy L",,,,,h1562,maria hasenhuttl
OB,6301,0W1,,46,,,6,,,1,,,,,,,,2,1,"Hasenhuttl, Maria","Ladd, Teddy L",,,,,ziegler,laurie ziegler
OB,6301,501,,10,28,13,1,,1,,,,,,,,,11,0,"Hicks, Jeffrey N","Shen, Jia",,,,,pretty,orlando richard
OB,6332,001,,12,1,1,,,,,,,,,,,,,1,"Ziegler, Laurie","Bhatia, Rishabh",,,,,ziegler,laurie ziegler
OB,6332,0W1,,22,,1,2,,,,,,,,,,,,0,"Ziegler, Laurie","Bhatia, Rishabh",,,,,ziegler,laurie ziegler
OB,6332,501,,23,2,2,1,,,,,,,,,,,,0,"Ziegler, Laurie","Bhatia, Rishabh",,,,,ziegler,laurie ziegler
OB,6338,CH1,,4,,5,,,,2,,,,,,,,,0,"Rentschler, Margaret F","Rofsky, Neil M",,,,,,margaret rentschler
OB,6339,XS1,,14,16,1,,1,,,,,,,,,,1,0,"Bolton, Gary",,,,,,gxb122130,gary bolton
OB,6342,CW2,,23,7,3,2,,,,,,,,,,,,1,"Norton, Larry",,,,,,,larry norton
OB,6346,CW4,,31,5,4,4,1,2,,,,,,2,,,,0,"Latham, Van M",,,,,,,van latham
OB,6350,CW1,,15,3,,1,,,,,,,,,,,,2,"Hicks, Robert",,,,,,,robert hicks
OB,6351,CW1,,23,7,,3,,,1,,,,,1,,,,3,"Norton, Larry",,,,,,,larry norton
OBHR,3310,001,1,8,9,5,9,7,6,1,1,,,,,7,1,,0,"Jun, Sora","Song, You-Xiang",,,,,davidr,david ritchey
OBHR,3310,002,2,7,13,9,10,3,2,5,1,1,,1,1,4,,,1,"Jun, Sora","Song, You-Xiang",,,,,exm150330,edward meda
OBHR,3310,003,15,18,7,5,3,2,,2,1,,,,,4,,,0,"Ritchey, David B",,,,,,exm150330,edward meda
OBHR,3310,004,27,15,10,2,2,,,,,,,,,3,,,0,"Ritchey, David B",,,,,,jxw175430,junfeng wu
OBHR,3310,005,24,5,8,3,2,3,,1,,1,,1,2,2,,,1,"Guo, Nan",,,,,,jxw175430,junfeng wu
OBHR,3310,501,1,10,5,6,4,3,3,2,,1,1,1,2,4,1,,1,"Jun, Sora","Song, You-Xiang",,,,,jnh061000,jeffrey hicks
OBHR,3310,HON,,48,6,1,,,,,,,,,1,3,,,0,"Hazzard, Charles F","Morye, Pushkar Sushil",,,,,cxh056000,charles hazzard
OBHR,3330,001,3,29,9,4,5,4,1,,1,1,1,,,1,,,1,"Meda, Edward","Boncoeur, Olivier D",,,,,davidr,david ritchey
OBHR,3330,002,7,4,4,4,6,4,,5,,,,,2,8,,,5,"Takeuchi, Riki","Song, You-Xiang",,,,,jaw160330,jeff weekley
OBHR,3330,003,5,34,14,4,,,,1,,,,,,1,1,,0,"Meda, Edward","Boncoeur, Olivier D",,,,,jaw160330,jeff weekley
OBHR,3330,004,20,18,12,1,2,,,1,,,,,,6,,,0,"Ritchey, David B",,,,,,exm150330,edward meda
OBHR,3330,005,16,23,12,1,5,1,,1,,,,,,,,,0,"Ritchey, David B",,,,,,exm150330,edward meda
OBHR,3330,006,1,3,14,14,10,4,1,3,2,,,,1,5,,,2,"Weekley, Jeff A","Oruganti, Madhu Geetika",,,,,exm150330,edward meda
OBHR,3330,007,2,4,14,5,3,3,,1,,,,,,2,,,1,"Takeuchi, Riki","Song, You-Xiang",,,,,jdk200000,jason kautz
OBHR,3330,008,3,6,9,7,10,5,4,2,2,1,,,2,5,1,,2,"Weekley, Jeff A","Oruganti, Madhu Geetika",,,,,exm150330,edward meda
OBHR,3330,0W1,1,26,10,6,1,1,,,1,,,,2,2,,,0,"Meda, Edward","Boncoeur, Olivier D",,,,,exm150330,edward meda
OBHR,3330,501,1,32,13,5,2,1,1,,1,,,,,3,,,0,"Meda, Edward","Boncoeur, Olivier D",,,,,davidr,david ritchey
OBHR,4310,001,8,5,6,4,2,1,1,,,,1,1,2,2,1,,3,"Kaplan, Marilyn R",,,,,,dmcnulty,diane mcnulty
OBHR,4331,501,8,7,13,2,4,5,1,,1,,,,1,,,,0,"Vidal-Brown, Sherry",,,,,,cxm050100,
OBHR,4333,501,21,8,7,3,5,3,,,1,,,,1,,,,2,"Ritchey, David B",,,,,,davidr,david ritchey
OBHR,4350,001,1,4,3,2,1,2,1,,,,,,1,2,,,1,"Hicks, Jeffrey N","Shen, Jia",,,,,jnh061000,jeffrey hicks
OBHR,4352,001,2,5,9,2,6,2,3,2,1,,,,3,8,,,2,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
OBHR,4352,002,3,11,8,4,6,2,4,,1,,,1,1,4,,,0,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
OBHR,4354,001,19,14,4,4,1,3,1,2,,,,,,1,,,0,"Meda, Edward","Boncoeur, Olivier D",,,,,exm150330,edward meda
OBHR,4395,001,,4,5,4,2,,,,,,,,,,,,0,"Weekley, Jeff A","Oruganti, Madhu Geetika",,,,,jaw160330,jeff weekley
OPRE,3310,001,8,13,3,18,7,3,1,1,,,,,,14,,,1,"Kim, Joohyun",,,,,,tje130130,terence egan
OPRE,3310,002,7,20,,6,16,,2,4,,,,,1,11,1,,1,"Mozik, Vince C","Foroughi Esfahani, Bita",,,,,hxg131530,harish guda
OPRE,3310,003,10,11,7,14,5,7,,,,,,,1,13,1,,1,"Venkataraman, Ashwin","Nirbhavane, Akshay B",,,,,rwk130030,robert kohankie
OPRE,3310,004,7,7,4,7,6,6,2,2,1,,,,2,5,3,,5,"Armaghan, Milad",,,,,,xxs130630,xi shan
OPRE,3310,005,6,19,1,8,16,4,,,1,,,,,14,,,0,"Qi, Anyan","Jain, Rajul",,,,,axq140430,anyan qi
OPRE,3310,006,3,9,8,7,6,6,1,2,2,,,,2,19,1,,4,"Rios Uribe, Ignacio A","Nirbhavane, Akshay B",,,,,axq140430,anyan qi
OPRE,3310,007,10,15,21,4,8,3,,2,,,,,,5,2,,0,"Parks, David","Jain, Rajul",,,,,mcl170030,mark layton
OPRE,3310,008,15,10,1,7,3,5,,,2,3,,,,19,,,5,"Gokcinar, Abdullah H",,,,,,mcl170030,mark layton
OPRE,3310,009,2,7,11,7,9,3,2,,,,,,,3,,,5,"Vu, Duc D",,,,,,jwh085000,james hogan
OPRE,3310,0W1,1,15,,1,6,,,6,,,,,,21,,,4,"Deluke, Eugene","Buggineni, Kranthi Teja",,,,,gxd052000,eugene deluke
OPRE,3310,501,8,10,10,14,7,2,1,1,2,,1,,3,5,1,,5,"Venkataraman, Ashwin","Nirbhavane, Akshay B",,,,,rwk130030,robert kohankie
OPRE,3320,001,1,2,2,5,3,4,,2,1,,3,,2,14,2,,3,"Fatehi, Soraya","Shah, Rishi A",,,,,cxk162830,
OPRE,3330,001,,16,13,3,2,3,2,,1,,3,,,7,5,,2,"Janke, Scott M","Bansal, Aagosh",,,,,sxa063000,shawn alborz
OPRE,3330,501,,12,3,5,2,2,1,,1,,,,5,3,2,,1,"Janke, Scott M","Bansal, Aagosh",,,,,smj160830,scott janke
OPRE,3333,001,10,21,6,4,11,7,3,2,1,1,,,,17,1,,1,"Enayaty Ahangar, Negin","Farzaneh, Mohammad Amin",,,,,mxn162630,mofid nakhaei
OPRE,3333,002,16,12,9,6,6,6,1,3,,,,,,20,1,,4,"Ahadi, Khatereh","Zhang, Minmin","Buggineni, Kranthi Teja",,,,meb049000,monica brussolo
OPRE,3333,003,19,11,11,3,7,3,2,3,,,,,2,20,1,,3,"Ahadi, Khatereh","Buggineni, Kranthi Teja",,,,,dxp153830,david parks
OPRE,3333,004,5,13,6,7,11,5,4,3,2,,,,,20,1,,2,"Enayaty Ahangar, Negin","Farzaneh, Mohammad Amin",,,,,tgs170130,timothy stephens
OPRE,3333,0W1,22,22,15,2,6,2,,2,1,,,,1,7,,,0,"Alimirzaei, Athena","Celik, Beyza",,,,,axa134231,athena alimirzaei
OPRE,3360,001,4,14,6,4,5,6,7,3,5,,,,2,13,,,1,"Enayaty Ahangar, Negin","Farzaneh, Mohammad Amin",,,,,mxn121930,mohammad naseri
OPRE,3360,002,6,14,4,3,8,2,2,2,2,1,,,2,18,2,,4,"Enayaty Ahangar, Negin","Farzaneh, Mohammad Amin",,,,,meb049000,monica brussolo
OPRE,3360,003,10,13,7,5,9,3,1,1,2,,2,,,12,3,,2,"Farajbakhsh Mamaghani, Fariba",,,,,,sxs137430,sina shokoohyar
OPRE,3360,004,1,12,4,7,4,3,2,1,1,,1,,1,22,6,,5,"Simsek, Ahmet S","Sul, Inki",,,,,meb049000,monica brussolo
OPRE,3360,005,17,2,7,5,10,3,,7,,,,,,11,1,,6,"Ahadi, Khatereh","Zhang, Minmin",,,,,mxn121930,mohammad naseri
OPRE,3360,006,12,11,4,3,4,5,1,11,,,,,,16,,,3,"Ahadi, Khatereh","Zhang, Minmin",,,,,dxp153830,david parks
OPRE,3360,007,7,5,17,12,3,5,4,1,1,,1,,4,5,2,,3,"Shi, Lingling",,,,,,mxn121930,mohammad naseri
OPRE,3360,0W1,4,13,15,10,6,5,,1,1,,,,2,12,1,,0,"Brussolo, Monica E","Kattula, Karthik Mahanth",,,,,flannery,carol flannery
OPRE,3360,501,9,16,7,9,8,5,4,3,1,,,,,4,2,,1,"Kucukgul, Can",,,,,,axq140430,anyan qi
OPRE,3360,502,2,7,2,7,12,10,4,2,5,,2,1,3,8,2,,3,"Simsek, Ahmet S","Sul, Inki",,,,,rxs179730,reza sajjadi
OPRE,4310,001,,7,8,1,6,7,2,3,3,2,1,,2,16,1,,1,"Ramanathan, Kannan","Nallur Srinivasan, Badri Naarayanan",,,,,kxr087000,kannan ramanathan
OPRE,4320,001,1,1,3,4,8,1,,,2,,,,1,6,,,0,"Subramoniam, Ramesh","Krishnan, Raghavi",,,,,rxs179630,ramesh subramoniam
OPRE,4330,501,18,13,5,1,2,,,,,,,,1,1,,,0,"Widdifield, David S","Donihakkalu Venkatesh Murthy, Sujith Subrahmanya",,,,,tje130130,terence egan
OPRE,4340,001,6,12,10,5,2,1,,,1,,,,1,2,,,0,"Widdifield, David S","Donihakkalu Venkatesh Murthy, Sujith Subrahmanya",,,,,cxk162830,
OPRE,4350,001,1,3,1,1,1,1,1,2,2,,,1,1,2,2,,8,"Wang, Shouqiang","Foroughi Esfahani, Bita","Mozik, Vince C",,,,sxw163830,shouqiang wang
