Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BUAN,6341,0W1,,10,9,6,7,8,,,,,,,,,,,,2,"Smashnov, Uri","Ashok Kumar, Monika",,,,,nxs045000,nassim sohaee
BUAN,6341,3,,11,26,5,2,2,,1,,,,,,,,,,0,"Wu, Lidong","Veepuri, Yamini",,,,,lxw097120,lidong wu
BUAN,6341,S01,,49,,,,,,,,,,,,,,,,0,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh
BUAN,6341,501,,16,24,7,4,,,,,,,,,,,,,0,"Koonjbearry, Karmaueer","Veepuri, Yamini",,,,,mfs170430,muhammad sabir
BUAN,6342,S01,,12,5,4,1,5,1,,,,,,,,,,,0,"Singh, Harpreet",,,,,,hxs104000,harpreet singh
BUAN,6342,1,,10,3,10,14,2,3,,,,,,,,,,,1,"Singh, Harpreet",,,,,,hxs104000,harpreet singh
BUAN,6342,501,,22,20,6,7,,,,,,,,,,,,,0,"El-khodari, Gasan E","Joseph, Shailender",,,,,hxs104000,harpreet singh
BUAN,6344,501,,5,1,4,1,3,1,1,,,,,,,,,,0,"Maru, Vatsal K","Jain, Rashi",,,,,tns190000,tejas shroff
BUAN,6344,S01,,16,,,1,,,,,,,,1,,,,,0,"Allison, Kyle",,,,,,,kyle allison
BUAN,6344,0W1,,7,4,4,5,,,,,,,,,,,,,0,"Mehra, Amit","Jain, Rashi",,,,,axm078200,amit mehra
BUAN,6346,1,,13,9,13,11,,,,,,,,,,,,,0,"El-Youssef, Rami","Vyas, Amish",,,,,rxe200001,rami el youssef
BUAN,6346,S02,,9,5,6,5,,,,,,,,1,,,,,0,"El-khodari, Gasan E",,,,,,,gasan el khodari
BUAN,6346,505,,13,7,8,3,4,,,,,,,,,,,,0,"El-khodari, Gasan E","Inturi, Amith",,,,,hxk210085,hossein kamalzadeh
BUAN,6346,0W1,,25,5,6,,,,,,,,,,,,,,0,"Perez, Jerry","Murali, Arunkarthik",,,,,jxp180019,jerry perez
BUAN,6346,501,,12,11,5,7,2,,,,,,,,,,,,0,"El-khodari, Gasan E","Inturi, Amith",,,,,axh134230,austin henslee
BUAN,6346,503,,23,9,3,2,1,1,,,,,,1,,,,,0,"Paes, Antonio P","Murali, Arunkarthik",,,,,gxe051000,gasan elkhodari
BUAN,6346,2,,14,7,9,11,,,,,,,,,,,,,0,"El-Youssef, Rami","Vyas, Amish",,,,,jdb101000,judd bradbury
BUAN,6346,504,,17,14,9,3,,1,,,,,,,,,,,0,"Shadid, Waseem G","Pawar, Raybhan Sanjay",,,,,wgs230000,
BUAN,6346,S01,,20,14,13,,,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez
BUAN,6346,502,,18,11,11,7,,1,,,,,,,,,,,0,"Shadid, Waseem G","Pawar, Raybhan Sanjay",,,,,axh134230,austin henslee
BUAN,6356,0W1,,7,12,4,6,3,1,1,,,,,,,,,,1,"Parker, Jason A","Jasti, Gnaneshwar",,,,,jap090020,jason parker
BUAN,6356,SW1,,2,2,3,2,1,,,,,,,,,,,,0,"Patra, Subhra R",,,,,,srp220003,subhra patra
BUAN,6356,502,,8,3,6,,2,,,,,,,,,,,,0,"Lee, Heeseung","Pal, Mayuri V",,,,,jap090020,jason parker
BUAN,6356,501,,7,2,9,4,,,,,,,,1,,,,,0,"Lee, Heeseung","Pal, Mayuri V",,,,,jap090020,jason parker
BUAN,6356,2,,7,8,2,5,2,2,,,,,,,,,,,0,"Shrivastava, Prakash C","Naikwade, Durgeshwari P",,,,,jap090020,jason parker
BUAN,6356,5,,8,6,6,8,,,,,,,,,,,,,0,"Parker, Jason A","Jasti, Gnaneshwar",,,,,jap090020,jason parker
BUAN,6356,3,,14,9,10,,1,,,,,,,,,,,,0,"Sun, Shujing","Nag, Nimit",,,,,sxs200168,shujing sun
BUAN,6356,S01,,40,,1,,,,,,,,,,,,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston
BUAN,6356,4,,11,11,13,3,1,1,3,,,,,,,,,,0,"Sun, Shujing","Nag, Nimit",,,,,sxs200168,shujing sun
BUAN,6356,1,,18,1,11,3,2,3,10,,,,,1,,,,,0,"Chen, Jianqing","Yan, Zhen",,,,,jxc111031,jianqing chen
BUAN,6357,SW1,,9,2,,2,1,,,,,,,,,,,,1,"Johnston, Walter L",,,,,,wlj031000,walter johnston
BUAN,6359,SW1,,7,3,,,1,,,,,,,,,,,,1,"Ahadi, Khatereh",,,,,,kxa180010,khatereh ahadi
BUAN,6359,S01,,5,3,2,2,1,1,,,,,,,,,,,0,"Brussolo, Monica E",,,,,,meb049000,monica brussolo
BUAN,6359,5W1,,9,3,5,4,1,,1,,,,,2,,,,,0,"Whalen, Tristan G","Patel, Jay A","Julakanti, Shiva Prasad Reddy",,,,tgw100020,tristan whalen
BUAN,6359,S02,,6,6,5,7,1,2,2,,,,,,,,,,0,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen
BUAN,6359,501,,16,3,3,3,4,3,5,,,,,,,,,,0,"Ramezani, Rasoul","Pampalker, Shashank",,,,,rxr145930,rasoul ramezani
BUAN,6359,1,,12,4,5,6,9,3,2,,,,,,,,,,0,"Toptal, Aysegul","Gandhi, Adeetya",,,,,axt083100,aysegul toptal
BUAN,6359,2,,21,1,6,4,3,3,8,,,,,3,,,,,0,"Ramezani, Rasoul","Pampalker, Shashank",,,,,meb049000,monica brussolo
BUAN,6359,502,,18,6,10,4,6,2,2,,,,,3,,,,,0,"Enayaty Ahangar, Negin",,,,,,meb049000,monica brussolo
BUAN,6359,0W1,,15,6,4,18,7,,2,,,,,2,,,,,0,"Brussolo, Monica E","Damania, Krish",,,,,meb049000,monica brussolo
BUAN,6382,501,,11,1,5,1,2,,2,,,,,,,,,,2,"Khafizov, Farid T","Naikwade, Durgeshwari P",,,,,rxe200001,rami el youssef
BUAN,6383,1,,8,1,2,6,,,,,,,,,,,,,0,"Menon, Syam S","Sun, Kai",,,,,sxm021300,syam menon
BUAN,6385,1,,34,5,3,,,5,4,,,,,,,,,,1,"Shekhar, Gaurav","Khairari, Anshul",,,,,gxs150130,gaurav shekhar
BUAN,6392,0W1,,11,7,9,3,,,5,,,,,,,,,,0,"Mehra, Amit","Zhu, Yan",,,,,axm078200,amit mehra
BUAN,6392,501,,14,6,3,4,4,3,2,,,,,2,,,,,3,"Koju, Vijay","Pal, Mayuri V",,,,,vxk220074,
BUAN,6392,1,,13,15,17,5,,,,,,,,,,,,,0,"Mehra, Amit","Zhu, Yan",,,,,axm078200,amit mehra
BUAN,6398,S01,,8,2,7,7,8,8,8,,,,,2,,,,,1,"Ramezani, Rasoul",,,,,,rxr145930,rasoul ramezani
BUAN,6398,2,,41,14,8,4,2,2,,,,,,,,,,,0,"Whalen, Tristan G","Patel, Jay A","Julakanti, Shiva Prasad Reddy",,,,rxr145930,rasoul ramezani
BUAN,6398,4,,68,3,,2,,,,,,,,,,,,,0,"Nguyen, Hien T","Srivastava, Bhupesh K","Julakanti, Shiva Prasad Reddy",,,,htn170130,hien nguyen
BUAN,6398,1,,44,16,5,4,2,4,,,,,,,,,,,0,"Whalen, Tristan G","Patel, Jay A","Julakanti, Shiva Prasad Reddy",,,,tgw100020,tristan whalen
BUAN,6398,SW1,,18,1,11,2,3,2,1,,,,,,,,,,2,"Sethi, Avanti P","Mohapatra, Adyasha",,,,,,avanti sethi
BUAN,6398,5,,22,5,11,13,4,1,1,,,,,1,,,,,1,"Wang, Yining",,,,,,cxk162830,
BUAN,6398,0W1,,23,4,19,2,3,6,2,,,,,1,,,,,0,"Sethi, Avanti P","Mohapatra, Adyasha",,,,,cxk162830,
BUAN,6398,501,,59,10,,1,,,,,,,,,,,,,0,"Nguyen, Hien T","Srivastava, Bhupesh K","Julakanti, Shiva Prasad Reddy",,,,cxk162830,
BUAN,6398,3,,67,7,,,,,,,,,,,,,,,0,"Nguyen, Hien T","Srivastava, Bhupesh K","Julakanti, Shiva Prasad Reddy",,,,htn170130,hien nguyen
CE,1202,301,,,,,,,,,,,,,,,,,,17,"Cogan, Diana L","Kovalyov, Anton","Patel, Kashyap","Olee, Shakil Mahmud",,,dcc095020,diana cogan
CE,1202,302,,,,,,,,,,,,,,,,,,23,"Cogan, Diana L","Patel, Kashyap","Kovalyov, Anton","Olee, Shakil Mahmud",,,dcc095020,diana cogan
CE,1202,4,4,7,2,2,6,1,1,1,1,1,,2,1,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan
CE,1202,2,6,5,2,4,7,1,1,4,2,3,,,4,,,,,3,"Cogan, Diana L",,,,,,dcc095020,diana cogan
CE,1202,3,1,1,3,2,1,,,1,,1,,,1,,,,,0,"Cogan, Diana L",,,,,,dcc095020,diana cogan
CE,1202,1,4,,3,3,2,3,1,,1,,1,1,2,,,,,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan
CE,2310,302,,,,,,,,,,,,,,,,,,16,"Ahmed, Shaheen",,,,,,dcc095020,diana cogan
CE,2310,305,,,,,,,,,,,,,,,,,,18,"Ahmed, Shaheen",,,,,,dcc095020,diana cogan
CE,2310,1,1,7,6,,5,2,2,2,2,,3,,4,,,,,0,"Ahmed, Shaheen","Duraisamy Swamikannan, Lena","Ghaderi, Mohammad Hasan","Qi, Tianxi",,,sxa176730,shaheen ahmed
CE,2310,501,1,,2,4,6,4,2,2,1,,6,,6,,,,,2,"Ahmed, Shaheen","Duraisamy Swamikannan, Lena","Ghaderi, Mohammad Hasan","Qi, Tianxi",,,dodge,nathan dodge
CE,3161,91,1,2,1,7,2,1,,,,,,1,1,,,,,0,"Mezenner, Rabah","Tariq, Zaid Bin",,,,,rxm129730,rabah mezenner
CE,3161,51,7,10,10,,1,1,,,,,,,,,,,,0,"Mezenner, Rabah","Tariq, Zaid Bin",,,,,rxm129730,rabah mezenner
CE,3201,302,,,,,,,,,,,,,,,,,,11,"Nikoubin Boroujeni, Tooraj","Sankarraman, Sri Vignesh",,,,,txn190011,tooraj nikoubin
CE,3201,2,1,10,5,1,2,,,,,,,,,,,,,1,"Nikoubin Boroujeni, Tooraj","Sankarraman, Sri Vignesh","Gao, Tianning","Parchamdar, Baharealsadat","Datta, Rajesh K",,,tooraj nikoubin boroujeni
CE,3201,1,3,20,4,2,,1,,,,,,,,,,,,0,"Nikoubin Boroujeni, Tooraj","Parchamdar, Baharealsadat","Sankarraman, Sri Vignesh","Gao, Tianning","Datta, Rajesh K",,txn190011,tooraj nikoubin
CE,3202,1,,3,,,3,2,4,1,,,2,,,,,,,0,"Kiasaleh, Kamran","Ahmed, Shaheen","Apalak, Merve","Tayeb Naimi, Shideh",,,kamran,kamran kiasaleh
CE,3202,2,3,2,3,,3,5,2,1,2,,1,,2,,,,,0,"Ahmed, Shaheen","Apalak, Merve","Tayeb Naimi, Shideh",,,,sxa176730,shaheen ahmed
CE,3301,2,1,10,,3,8,,3,4,3,,,,2,,,,,0,"Lee, Gil S","Kim, Eunjin",,,,,gslee,gil lee
CE,3301,1,,4,,,3,,3,2,4,,,,2,,,,1,0,"Lee, Gil S","Kim, Eunjin",,,,,gslee,gil lee
CE,3303,1,1,4,2,6,2,8,5,3,3,2,1,1,3,,,,,3,"Kehtarnavaz, Nasser","Alam, Lamia",,,,,nxk019000,nasser kehtarnavaz
CE,3310,2,5,6,2,2,7,,,,,,,,,,,,,0,"Frensley, William","Muraleedharan Sudha, Athul",,,,,frensley,william frensley
CE,3311,3,1,5,2,1,3,3,3,1,,,,,,,,,,1,"Lee, Hoi","Muraleedharan Sudha, Athul",,,,,hxl054000,hoi lee
CE,3311,2,3,6,3,2,2,3,2,1,1,,1,,,,,,,0,"Liu, Jin","Han, Weijie",,,,,jinliu,jin liu
CE,3311,1,,,,,1,,2,3,1,3,,,,,,,,0,"Chiu, Yun","Olee, Shakil Mahmud",,,,,yxc101000,yun chiu
CE,3320,1,3,1,5,1,3,3,3,1,2,3,,1,2,,,,,0,"Khoobroo, Amir","Fowler, Aric",,,,,axk144831,amir khoobroo
CE,3320,2,,2,6,6,3,3,4,4,2,,,,,,,,,0,"Khoobroo, Amir","Si, Qilin",,,,,axk144831,amir khoobroo
CE,3345,6,3,1,1,2,,,2,1,,,,,,,,,,0,"Feng, Ranran",,,,,,rxf090020,ranran feng
CE,3354,502,2,2,1,1,1,,1,,1,,,,,,,,1,0,"Christiansen, Michael G",,,,,,wxy180002,wei yang
CE,4202,1,,10,,,8,,,1,,,,,,,,,,0,"Henderson, Rashaunda M","Medina, Oscar F","Abbas, Farhat",,,,rmh072000,rashaunda henderson
CE,4204,1,10,12,6,,1,,,1,,,,,,,,,,0,"Young, Chadwin D","Hossain Bhuiyan, Md Emran","Parvez, Mohammad Salman",,,,cdy120030,chadwin young
CE,4304,1,,6,4,6,1,2,2,1,,,,,,,,,,0,"Swartz, William P","Munia, Munawara Saiyara","Kim, Jeonghwan",,,,wps100020,william swartz
CE,4304,2,1,3,6,5,1,2,2,2,,,3,1,1,,,,,0,"Swartz, William P",,,,,,wps100020,william swartz
CE,4337,502,,3,,6,,4,1,,1,,,,,,,,,0,"Salazar, Elmer E","Wang, Guanghua",,,,,cid021000,chris davis
CE,4348,501,4,7,4,5,12,11,4,3,2,,1,1,,,,,,2,"Pathak, Jogen K","Vasireddy, Siva Sai Nagender",,,,,rag150330,richard goodrum
CE,4370,303,,,,,,,,,,,,,,,,,,11,"Pedram, Hossein",,,,,,bxc162630,benjamin carrion schaefer
CE,4370,305,,,,,,,,,,,,,,,,,,11,"Pedram, Hossein",,,,,,wps100020,william swartz
CE,4370,304,,,,,,,,,,,,,,,,,,12,"Pedram, Hossein",,,,,,wps100020,william swartz
CE,4370,306,,,,,,,,,,,,,,,,,,13,"Pedram, Hossein",,,,,,wps100020,william swartz
CE,4370,1,,,6,3,4,7,3,,1,,,,,,,,,0,"Pedram, Hossein",,,,,,hxp220048,hossein pedram
CE,4370,2,,9,11,4,5,1,,4,,,1,,,,,,,1,"Pedram, Hossein",,,,,,hxp220048,hossein pedram
CE,4388,1,,8,5,,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca
CE,4388,2,,10,4,,,,,,,,,,,,,,,0,"Skinner, Neal G",,,,,,mtacca,marco tacca
CE,4389,1,2,6,2,,,,,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner
CE,4389,4,,6,6,3,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca
CE,4389,5,1,11,1,,,,2,,,,,,,,,,,0,"Tacca, Marco","Skinner, Neal G",,,,,mtacca,marco tacca
CE,4389,3,1,5,2,1,,,2,,1,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner
CE,6301,1,,19,1,,,1,,,,,,,,,,,,0,"Swartz, William P",,,,,,wps100020,william swartz
CE,6302,303,,,,,,,,,,,,,,,,,,11,"Nikoubin Boroujeni, Tooraj",,,,,,trb052000,terrell bennett
CE,6302,302,,,,,,,,,,,,,,,,,,12,"Nikoubin Boroujeni, Tooraj",,,,,,trb052000,terrell bennett
CE,6302,1,,20,11,2,3,,,,,,,,,,,,,0,"Nikoubin Boroujeni, Tooraj","Fowler, Aric","Vasileiou, Christos",,,,,tooraj nikoubin boroujeni
CE,6303,1,,6,9,3,1,1,,,,,,,,,,,,0,"Nourani, Mehrdad","Kim, Jeonghwan",,,,,nourani,mehrdad nourani
CE,6304,1,,7,7,4,,,,,,,,,1,,,,,0,"Basu, Kanad","Si, Qilin",,,,,kxb190012,kanad basu
CE,6306,1,,10,2,3,,1,,,,,,,,,,,,0,"Bhatia, Dinesh K","Zhou, Dian","Gao, Tianning",,,,dinesh,dinesh bhatia
CE,6308,1,,2,1,3,2,3,,,,,,,,,,,,0,"Bastani, Farokh B","Hatfield, Cody R",,,,,bastani,farokh bastani
CGS,2301,HN1,4,5,2,2,1,2,1,,,,,,,,,,,0,"O'Toole, Alice J",,,,,,otoole,alice otoole
CGS,2301,0W2,51,12,5,4,1,4,,2,,1,,,12,,,,,1,"Hooge, Kimberley D",,,,,,koh170030,kimberley orsten hooge
CGS,2301,0W1,52,13,10,3,1,3,2,,2,,,,8,,,,,0,"Hooge, Kimberley D",,,,,,koh170030,kimberley orsten hooge
CGS,3342,501,,5,6,4,2,,,,,,,,,,,,,0,"Golden, Richard M","Sudheesh, Athul",,,,,golden,richard golden
CGS,3361,2,1,,1,,,,4,1,2,1,,,2,,,,,0,"Wig, Gagandeep S","Cortez, Jared I",,,,,gsw130130,gagandeep wig
CGS,3361,1,6,2,,2,2,1,,,1,,,,,,,,,0,"Roark, Dana A","Wong, Galston K",,,,,danar,dana roark
CGS,4320,1,3,2,,1,1,,1,,1,,,,,,,,,1,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk
CGS,4353,0W1,15,2,3,1,,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
CHEM,1111,101,2,5,8,4,3,3,1,1,,1,,,1,,,,,1,"Sra, Amandeep K","Martinez Garcia, Jonathan",,,,,nxa124430,nimali abeykoon
CHEM,1111,105,1,5,6,3,1,3,1,2,2,,1,,4,,,,,1,"Qin, Yanping","Yamada, Kyohei",,,,,dxd122030,dushanthi dissanayake
CHEM,1111,102,5,6,5,3,4,1,,,,1,1,,,,,,,2,"Sra, Amandeep K","Giri, Sachin",,,,,dxd122030,dushanthi dissanayake
CHEM,1111,103,12,5,1,5,1,,,1,1,1,,,2,,,,,0,"Hashami, Zohreh","Giri, Sachin",,,,,axk113330,
CHEM,1111,104,8,5,2,4,,2,1,,1,1,,1,3,,,,,1,"Qin, Yanping","Yamada, Kyohei",,,,,nxa124430,nimali abeykoon
CHEM,1112,101,9,9,4,3,2,1,,,,,1,,1,,,,,0,"Goux, Warren J","Becerra, Michelle T",,,,,yxq083000,yanping qin
CHEM,1112,102,11,8,4,2,,1,2,1,,1,,,,,,,,0,"Abeykoon, Nimali C","Mortensen, Marie L",,,,,yxq083000,yanping qin
CHEM,1112,103,16,1,5,2,1,,1,,,,,1,,,,,,3,"Abeykoon, Nimali C","Martil De La Garza, Mauricio G",,,,,sgavva,sandhya gavva
CHEM,1112,104,15,6,4,,,1,,2,,,,,,,,,,2,"Goux, Warren J","Kim, Gyeongseo",,,,,sgavva,sandhya gavva
CHEM,1112,105,15,5,4,3,,2,,,,,,,,,,,,1,"Qin, Yanping","Mortensen, Marie L",,,,,sgavva,sandhya gavva
CHEM,1112,106,19,5,3,3,,,,,,,,,,,,,,0,"Qin, Yanping","Neal, Henry",,,,,nxa124430,nimali abeykoon
CHEM,1112,107,19,4,3,2,2,,,,,,,,,,,,,0,"Hashami, Zohreh","Heidari, Sahar",,,,,nxa124430,nimali abeykoon
CHEM,1112,108,15,6,1,2,1,3,,,,,,,1,,,,,1,"Hashami, Zohreh","Chatterjee, Shubham",,,,,yxq083000,yanping qin
CHEM,1112,109,18,5,1,2,2,2,,,,,,,,,,,,0,"Qin, Yanping","Darwin, Cary",,,,,nxa124430,nimali abeykoon
CHEM,1112,110,16,11,1,1,,,,,,,1,,,,,,,0,"Anka, Fadwa H","Kumari, Ekanayake Mudiyanselage Ishara G",,,,,axk113330,
CHEM,1112,113,10,9,1,5,1,3,,,,,,,,,,,,1,"Abeykoon, Nimali C","Chatterjee, Shubham",,,,,nxa124430,nimali abeykoon
CHEM,1112,116,13,7,3,1,3,1,1,,,,,,,,,,,1,"Goux, Warren J","Neal, Henry",,,,,yxh091220,yu huang
CHEM,1112,117,9,10,3,2,1,2,,1,1,,,1,,,,,,0,"Goux, Warren J","Dissanayake Mudiyanselage, Upeksha Chathurangi Dissanayak",,,,,yxq083000,yanping qin
CHEM,1112,118,13,11,3,1,1,,,,,,,,,,,,,1,"Gavva, Sandhya R","Martil De La Garza, Mauricio G",,,,,nxa124430,nimali abeykoon
CHEM,1112,119,17,8,1,,2,,,,,,1,,1,,,,,0,"Gavva, Sandhya R","Dissanayake Mudiyanselage, Upeksha Chathurangi Dissanayak",,,,,axk113330,
CHEM,1112,120,14,7,2,,1,3,1,,,,1,,1,,,,,0,"Anka, Fadwa H","Sepasi, Zahra",,,,,dxd122030,dushanthi dissanayake
CHEM,1112,121,19,4,2,1,1,,1,,,,,,2,,,,,0,"Abeykoon, Nimali C","Darwin, Cary",,,,,axk113330,
CHEM,1112,122,13,8,5,,2,,,1,,,,,1,,,,,0,"Abeykoon, Nimali C","Polara, Sarthi",,,,,dxd122030,dushanthi dissanayake
CHEM,1112,123,7,9,5,2,1,,,3,1,,,,1,,,,,1,"Panapitiya, Nimanka P","Kim, Gyeongseo",,,,,axk113330,
CHEM,1112,124,14,3,3,,3,1,,,1,1,,,1,,,,,3,"Qin, Yanping","Qasimi, Nazer Hossain",,,,,dxd122030,dushanthi dissanayake
CHEM,1112,125,12,5,6,2,1,,1,,,,1,,2,,,,,0,"Qin, Yanping","Sunga, Sean Alec Lois B",,,,,axk113330,
CHEM,1112,127,12,9,3,4,1,,,,,,1,,,,,,,0,"Anka, Fadwa H","Sunga, Sean Alec Lois B",,,,,nxa124430,nimali abeykoon
CHEM,1112,601,6,10,3,4,1,1,1,1,,,,,,,,,,0,"Sisk, Joshua R","Kumari, Ekanayake Mudiyanselage Ishara G",,,,,sgavva,sandhya gavva
CHEM,1112,111,16,8,3,1,,,,,1,,,,,,,,,0,"Anka, Fadwa H","Thanabalasingam, Kulatheepan",,,,,yxh091220,yu huang
CHEM,1112,112,8,10,2,3,2,,2,,,,,,2,,,,,0,"Goux, Warren J","Becerra, Michelle T",,,,,sgavva,sandhya gavva
CHEM,1112,114,15,9,2,2,,,,,,1,,,,,,,,0,"Abeykoon, Nimali C","Polara, Sarthi",,,,,yxq083000,yanping qin
CHEM,1112,115,17,8,1,,1,1,1,,,,,,,,,,,0,"Qin, Yanping","Sepasi, Zahra",,,,,nxa124430,nimali abeykoon
CHEM,1112,126,12,8,,3,1,1,,2,,,1,,1,,,,,0,"Anka, Fadwa H","Qasimi, Nazer Hossain",,,,,dxd122030,dushanthi dissanayake
CHEM,1112,602,10,8,3,3,1,1,,1,,,,,2,,,,,0,"Sisk, Joshua R","Thanabalasingam, Kulatheepan",,,,,dxd122030,dushanthi dissanayake
CHEM,1116,HN1,6,22,,,,,,,,,,,,,,,,0,"Sibert, John W",,,,,,sibertj,john sibert
CHEM,1311,1,30,8,7,11,19,19,13,10,20,13,15,10,45,,,,1,18,"Sra, Amandeep K","Kumari, Sneha",,,,,aks057000,amandeep sra
CHEM,1312,3,5,15,14,7,22,17,12,14,18,5,11,4,33,,,,,9,"Dieckmann, Gregg R",,,,,,dieckgr,gregg dieckmann
CHEM,1312,5,4,8,4,14,21,16,11,20,26,10,3,7,34,,,,,8,"Abeykoon, Nimali C",,,,,,nxa124430,nimali abeykoon
CHEM,1312,4,4,12,19,12,17,23,15,17,20,6,7,6,30,,,,,4,"Dieckmann, Gregg R",,,,,,dieckgr,gregg dieckmann
CHEM,1312,1,17,25,11,11,19,17,13,16,23,8,4,5,20,,,,,6,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
CHEM,1312,2,13,34,17,23,15,27,10,14,12,7,5,4,14,,,,1,3,"Huang, Yu",,,,,,yxh091220,yu huang
CHEM,1316,HN1,8,8,3,4,1,2,,2,,,,,,,,,,0,"Sibert, John W",,,,,,sibertj,john sibert
CHEM,2233,0W1,200,44,3,1,,,,,,,,,,,,,,2,"Wijenayake, Sumudu N","Panapitiya, Nimanka P",,,,,snw081000,sumudu wijenayake
CHEM,2233,1,86,27,3,2,,,,,,,,,,,,,,2,"Cortes, Sergio",,,,,,scortes,sergio cortes
CHEM,2233,3,89,28,11,3,,,,,,,,,,,,,,2,"Tran, Daniel N",,,,,,scortes,sergio cortes
CHEM,2233,2,103,32,6,1,,,,,,,,,1,,,,,0,"Panapitiya, Nimanka P",,,,,,npp081000,nimanka panapitiya
CHEM,2237,HN1,8,2,,,,,,,,,,,,,,,,0,"Thompson, Christina M","Al-Kharji, Noora M",,,,,cmt120030,christina thompson
CHEM,2323,1,10,11,1,5,5,4,1,1,12,8,4,,25,,,,1,4,"Novak, Bruce M","Beck, Erling",,,,,bxn111230,bruce novak
CHEM,2323,2,5,7,5,2,6,4,3,3,8,7,7,,32,,,,,8,"Novak, Bruce M",,,,,,bxn111230,bruce novak
CHEM,2324,1,12,15,8,2,5,3,2,3,,2,1,,,,,,,0,"Wijenayake, Sumudu N","Li, Baowen",,,,,snw081000,sumudu wijenayake
CHEM,2325,2,26,37,10,14,11,12,10,9,5,6,2,,,,,,,3,"Tran, Daniel N",,,,,,dnt019000,daniel tran
CHEM,2325,3,30,39,9,19,12,13,10,1,3,1,1,,5,,,,,2,"Panapitiya, Nimanka P","Lumata, Jenica",,,,,npp081000,nimanka panapitiya
CHEM,2325,4,8,24,11,14,13,12,21,6,10,7,9,7,2,,,,,1,"Ahn, Jung-Mo","Mihranyan, Andranik",,,,,jxa041100,jung mo ahn
CHEM,2325,5,4,8,9,9,4,8,6,13,5,8,8,,17,,,,,6,"Cortes, Sergio","Trashi, Orikeda",,,,,scortes,sergio cortes
CHEM,2325,1,10,26,15,18,15,8,9,9,12,9,4,,5,,,,1,2,"Thompson, Christina M",,,,,,cmt120030,christina thompson
CHEM,2328,HN1,2,4,3,1,1,1,,,,,,,,,,,,0,"Biewer, Michael C","Popa, Marius S",,,,,biewerm,michael biewer
CHEM,2401,2,1,3,,5,1,5,1,2,2,,,,,,,,,0,"Pantano, Paul","Borah, Kongkona",,,,,pantano,paul pantano
CHEM,2401,3,1,6,2,3,,1,1,,1,1,1,1,2,,,,,0,"Dissanayake, Dushanthi S","Umer, Arslan",,,,,dxd122030,dushanthi dissanayake
CHEM,2401,4,1,1,3,3,3,3,3,1,1,,,,,,,,,0,"Pantano, Paul","Cahill, Marshall C",,,,,pantano,paul pantano
CHEM,3321,1,4,4,,3,4,5,3,6,2,,2,,6,,,,,0,"Nielsen, Steven O","Aranda, Aidely",,,,,son051000,steven nielsen
CHEM,3322,1,26,14,,5,1,,2,2,,,,,5,,,,,1,"Cisneros, Gerardo A","Tran, Ly T",,,,,gac210005,gerardo cisneros
CHEM,3362,1,,2,2,,4,2,,1,1,,,,,,,,,0,"Candas, Mehmet","Reitzer, Lawrence J","Petter, Andrew T","Sunder Singh, Jacqulene Preethi","Soladogun, Adedamola S",,candas,mehmet candas
CHEM,3471,1,,7,,1,1,,,,1,,,,1,,,,,1,"Smaldone, Ronald A",,,,,,ras120030,ronald smaldone
CHEM,3472,1,1,,1,2,,2,,1,1,,,1,4,,,,,0,"Qin, Yanping","Hasna Begam, Mohammed Nazar","Arche, Phillip Damien E","Arora, Niyati","Igie, Nosakhare F",,yxq083000,yanping qin
CHEM,3472,2,2,5,3,2,2,,,,,,,,,,,,,0,"Hashami, Zohreh","Arora, Niyati","Arche, Phillip Damien E","Igie, Nosakhare F","Hasna Begam, Mohammed Nazar",,zxh088000,zohreh hashami
CHEM,4335,1,1,4,2,4,3,5,1,1,1,,,,,,,,,0,"Ferraris, John P","Igie, Nosakhare F",,,,,ferraris,john ferraris
CHEM,4473,1,1,7,3,1,2,,,,,,,,,,,,,0,"Huang, Yu","Beck, Erling","Hagge, Laurel M","Koirala, Shailendra","Mefferd, Branston E","Stelling, Allison",yxh091220,yu huang
CHEM,4473,2,1,,1,3,1,2,1,1,2,,2,,,,,,,0,"Goux, Warren J","Huang, Yu","Koirala, Shailendra","Beck, Erling","Mefferd, Branston E","Hagge, Laurel M",wgoux,warren goux
