Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
IMS,3310,010,,4,13,6,19,10,3,1,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu
IMS,3310,014,3,8,6,2,9,7,4,5,10,1,,,1,0,"Olsztynska, Agnieszka","Shah, Aditya A",,,,,axo027000,agnieszka olsztynska
ITSS,4353,501,17,13,6,11,4,2,1,,,,,,1,1,"Rao, Mukund","Mehta, Utsav K",,,,,mxr170008,mukund rao
MIS,6313,MBP,,34,16,5,,,,,,,,,,1,"Mookerjee, Vijay",,,,,,vijaym,vijay mookerjee
MIS,6380,001,,13,15,10,11,2,1,2,,,,,2,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,,jdb101000,judd bradbury
MIS,6380,002,,12,14,21,8,,,,,,,,,1,"Islam, Naser","Sultana, Yasmin",,,,,nxi110630,naser islam
MKT,3300,001,7,26,7,4,9,1,,2,,,,,,0,"Bigham, Ernest P",,,,,,epb180001,ernest bigham
MKT,3300,004,7,28,16,2,,2,,,,,,1,,0,"Egeland, Rita E",,,,,,rxb154430,rita egeland
MKT,3300,007,2,17,15,6,9,4,,3,,,,,,0,"Pahwa, Parneet","Karavasili, Pavlina","Alavi, Seyyedeh Soogand",,,,pxp030100,parneet pahwa
MKT,3300,008,3,19,15,9,7,1,,1,,,,,1,0,"Pahwa, Parneet","Karavasili, Pavlina","Alavi, Seyyedeh Soogand",,,,pxp030100,parneet pahwa
MKT,3300,013,2,19,7,13,7,1,3,3,,1,,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna
MKT,3300,015,2,15,5,4,11,4,5,4,1,3,2,,,0,"Wu, Fang","Kasaian, Keyvan",,,,,fxw052000,fang wu
OPRE,3310,001,8,15,,22,6,3,,,,,1,,1,0,"Kim, Joohyun",,,,,,jxk161630,joohyun kim
OPRE,3310,003,17,21,,8,5,,5,,,,,,,0,"Widdifield, David S","Godavarthi, Sasank",,,,,dsw180001,david widdifield
OPRE,3310,005,,7,10,14,8,11,3,,1,,1,,1,0,"Janke, Scott M","Rajkotwala, Mustafa S",,,,,smj160830,scott janke
ITSS,3311,004,20,5,10,7,5,5,1,,2,,,,1,0,"Tunc, Murat M",,,,,,,murat tunc
PSY,2317,002,,2,1,3,6,8,5,7,10,1,4,4,5,1,"Juhn, Nancy H","Carson, Kevin J","Zhang, Ziwei",,,,njuhn,nancy juhn
BMEN,4310,001,,20,23,9,2,,,,,,,,3,0,"Bleris, Leonidas","Quarton, Tyler G",,,,,lxb092000,leonidas bleris
BMEN,4360,001,4,12,13,7,5,5,3,3,1,1,,1,2,0,"Rodrigues, Danieli B","Lakkasetter Chandrashekar, Bhuvana",,,,,dxb127430,danieli rodrigues
CS,2336,005,1,16,8,7,12,5,3,2,1,,,,1,1,"Feng, Ranran",,,,,,rxf090020,ranran feng
CS,3377,0W4,3,10,,6,22,,2,4,,1,1,,6,2,"Belkoura, Mohamed Amine",,,,,,mxb135330,mohamed amine belkoura
CS,4384,502,5,9,7,7,13,2,2,4,1,,,1,3,3,"Stallbohm, Zachary E",,,,,,zxs110030,zachary stallbohm
CS,6363,004,,21,10,22,3,,1,,,,,,,0,"Bereg, Sergey","Guo, Jianxiong",,,,,sxb027100,sergey bereg
ECS,1100,025,1,25,5,6,9,7,,,2,,,,2,0,"Ntafos, Simeon","Lloyd, Melody",,,,,ntafos,simeon ntafos
SOC,3342,0W1,8,29,2,5,9,2,2,,,,,,,0,"Malek-Ahmadi, John H","Wilds, Katherine M",,,,,jhm110020,john malek ahmadi
ACCT,3331,003,4,8,6,4,6,6,2,8,1,2,2,1,6,1,"Zhou, Yibin","Ajayi, Olamiposi O",,,,,yxz066000,yibin zhou
ACCT,6305,001,,14,9,17,6,6,5,,,,,,,0,"Li, Ningzhong","Song, Dongye",,,,,nxl124130,ningzhong li
BUAN,6398,501,,21,4,6,13,4,1,8,,,,,,0,"Alimirzaei, Athena","Gorantla, Pavan Sai Krishna C",,,,,axa134231,athena alimirzaei
ITSS,3300,503,,21,13,5,7,1,1,,1,1,,,3,4,"Khan, Masudal H","Xie, Si",,,,,mhk190001,masudal khan
MIS,6308,002,,25,9,12,11,,,,,,,,,0,"Raghunathan, Srinivasan","Srivastava, Smriti",,,,,sraghu,srinivasan raghunathan
OPRE,6301,009,,17,11,10,9,6,3,1,,,,,,0,"Toptal, Aysegul","Zhang, Minmin",,,,,axt083100,aysegul toptal
BUAN,6312,001,,10,9,14,9,8,4,2,,,,,1,0,"Blueshtein, Moran","Smith, Jake A","Chen, Chuang",,,,mxb135230,moran blueshtein
MKT,3320,001,1,9,18,8,6,4,2,1,1,,1,1,4,0,"Haworth, Julie B",,,,,,haworth,julie haworth
NSC,4363,002,,32,,,18,,,5,,,1,,2,0,"Raboune, Siham",,,,,,sxr180071,siham raboune
BMEN,3402,001,14,8,8,7,6,1,2,2,3,1,,1,3,2,"Ardestani Khoubrouy, Soudeh","Lloyd, David A",,,,,sxa074200,soudeh ardestani khoubrouy
CS,3340,001,5,12,11,5,3,7,5,4,3,,,,2,1,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
CS,4337,004,,2,10,10,14,10,6,2,,2,,1,1,0,"Salazar, Elmer E",,,,,,ees101020,elmer salazar
CS,4348,001,,5,4,6,6,7,9,6,7,,2,2,4,0,"Ozbirn, Greg A","Mai, Kelvin K",,,,,ozbirn,greg ozbirn
CS,5348,002,,25,14,5,7,2,2,1,,,,,1,1,"Alagar, Sridhar","Li, Fang",,,,,sxa173731,sridhar alagar
CS,6301,501,,9,36,13,,,,,,,,,,0,"Culver, Timothy L","Gu, Shuyang",,,,,tlc130230,timothy culver
CS,6313,501,,32,15,5,2,2,1,,,,,,,1,"Zhou, Yan","Khargonkar, Ninad Arun",,,,,,yan zhou
CRIM,3324,0W1,2,14,12,6,7,1,,4,2,1,4,2,3,0,"Gammell, Sarah P",,,,,,spg160530,sarah gammell
ECON,3330,001,3,23,5,2,17,1,,1,1,,1,,3,1,"Ketsler, Luba","Colunga Ramos, Luis Fernando",,,,,lxk010300,luba ketsler
SOC,4372,0W1,,45,,,8,,,2,,,,,2,1,"Cheun, Jacquelyn J",,,,,,jjc150830,jacquelyn cheun
ACCT,2302,002,4,10,,10,8,,9,5,5,,2,,4,1,"Zolton, Kathy","Thompson, Colby S",,,,,kxz121730,kathy zolton
ACCT,2302,003,4,8,7,9,4,4,3,8,3,2,,,1,5,"Copat, Rafael","Thompson, Colby S",,,,,rxc190027,rafael copat
ACCT,4340,001,11,17,8,9,3,5,1,2,,1,1,,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,,jxj091000,jennifer johnson
ACCT,6305,501,,15,8,17,6,6,6,,,,,,,0,"Li, Ningzhong","Song, Dongye",,,,,nxl124130,ningzhong li
ENTP,3301,002,1,,7,5,17,14,6,5,,1,,,1,1,"Kimzey, Jackie",,,,,,jxk092000,jackie kimzey
FIN,6301,002,,21,4,8,10,8,3,,,,,,2,2,"Xiao, Steven","Rupp, Anin D",,,,,sxx150930,steven xiao
ITSS,3300,010,,17,,12,7,12,,3,1,1,1,,3,1,"Bose, Ranavir","Bhadane, Mayuri S",,,,,rxb132730,ranavir bose
ITSS,3311,002,4,10,8,2,5,9,2,,2,2,2,3,7,2,"Narayanasami, Priya","Tran, Quan T",,,,,pxn173330,priya narayanasami
ITSS,3311,003,8,22,15,5,8,,,,,,,,,0,"Zhang, Chenglong",,,,,,cxz160530,chenglong zhang
MIS,6360,001,,19,17,11,5,4,2,,,,,,,0,"Thouin, Mark","Bhadane, Mayuri S",,,,,mxt083000,mark thouin
MIS,6382,001,,13,24,8,7,3,1,1,,,,,,1,"Mookerjee, Radha","Satheesh, Aparna",,,,,rvm019000,radha mookerjee
OPRE,3333,004,9,18,6,5,6,5,2,4,,,,,1,2,"Woldu, Malgorzata","Wang, Ming",,,,,mxw180018,malgorzata woldu
OPRE,6302,003,,12,18,26,2,,,,,,,,,0,"Janakiraman, Ganesh","Mobini Dehkordi, Zahra",,,,,gxj091000,ganesh janakiraman
MATH,2418,004,9,6,5,5,3,7,3,2,7,,3,,6,2,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
MATH,2418,502,8,4,5,2,8,3,3,1,7,2,2,1,8,4,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
CS,4395,001,1,4,6,9,11,7,3,2,5,2,2,,2,4,"Mazidi, Karen J","Hu, Yibo",,,,,kjm160430,karen mazidi
FIN,6301,501,,15,1,11,16,4,6,,,,,,,5,"Xiao, Steven","Rupp, Anin D",,,,,sxx150930,steven xiao
ITSS,3300,002,,21,11,16,6,2,2,,,,,,,0,"Varma, Rashmi","Tang, Ping",,,,,,rashmi varma
CS,3305,004,1,17,5,9,21,5,1,,,,,,,0,"Satpute, Meghana N",,,,,,mns086000,meghana satpute
CS,3377,0W2,2,30,8,4,8,1,4,,,,,,,2,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor
CS,4390,002,,22,12,10,9,4,,2,,,,,,0,"Farago, Andras","Gour, Riti",,,,,farago,andras farago
CS,6315,501,,53,,,6,,,,,,,,,0,"Ates, Keven L","Lee, Yi-Hui",,,,,atescomp,keven ates
CS,6363,003,,3,13,20,11,7,1,3,,,,,,1,"Raichel, Benjamin A","Huang, Hongyao",,,,,bar150630,benjamin raichel
ECS,1100,017,14,16,7,4,2,4,1,2,3,,,1,5,0,"Wright, Emelia M",,,,,,,emelia wright
ENGR,3300,001,1,10,,4,12,,1,13,4,,8,,2,4,"Lee, Jung S","Zhang, Tianliang","Akbarzadeh, Sara",,,,jls032000,jung lee
ACCT,3341,002,3,6,3,6,8,2,2,4,2,3,1,2,4,13,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,,goodrich,mary beth goodrich
ACCT,4334,001,,17,,,23,,,8,,,5,,4,2,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,,ccl019000,chris linsteadt
ACCT,4342,001,2,7,5,11,9,7,8,6,2,,,,2,0,"Johnson, Jennifer","Lietha, Cassidy R",,,,,jxj091000,jennifer johnson
ACCT,6333,501,,20,3,,23,,1,8,,,,,2,2,"Zolton, Kathy","Gu, Dongdi",,,,,kxz121730,kathy zolton
ITSS,3300,001,,17,18,9,9,3,2,,,1,,,,0,"Varma, Rashmi","Tang, Ping",,,,,,rashmi varma
ITSS,3300,004,5,25,6,5,6,4,2,3,,,1,,2,0,"Stephens, Timothy G","Zhang, Hong",,,,,tgs170130,timothy stephens
ITSS,3300,007,1,32,11,6,5,2,,1,1,,,,,0,"Stephens, Timothy G","Zhang, Hong",,,,,tgs170130,timothy stephens
ITSS,3300,502,,27,18,8,1,2,,2,1,,,,,0,"Hansen, Atanas Y","Zhu, Wangsheng",,,,,ayt061000,atanas hansen
OBHR,3330,002,,11,14,11,10,6,3,1,,,,,3,0,"Meda, Edward","Shah, Nikhil",,,,,exm150330,edward meda
OBHR,3330,006,4,17,14,4,11,3,2,3,,,,,,1,"Ritchey, David B",,,,,,davidr,david ritchey
OBHR,3330,501,1,4,15,10,3,17,6,1,2,,,,,0,"Meda, Edward","Shah, Nikhil",,,,,exm150330,edward meda
OPRE,3360,004,15,7,4,3,3,5,4,5,3,3,2,2,3,0,"Farajbakhsh Mamaghani, Fariba",,,,,,fxf150430,fariba farajbakhsh mamaghani
OPRE,3360,006,15,3,5,2,4,8,4,2,10,2,,1,1,2,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar
OPRE,3360,009,13,14,2,13,9,5,2,,1,,,,,0,"Kucukgul, Can",,,,,,cxk151030,can kucukgul
OPRE,6302,001,,22,14,5,13,1,3,1,,,,,,0,"Honhon, Dorothee B","Stalvey, Shelly",,,,,dbh130130,dorothee honhon
OPRE,6302,002,,20,8,13,8,2,6,1,,,,,,1,"Honhon, Dorothee B","Stalvey, Shelly",,,,,dbh130130,dorothee honhon
CHEM,3361,001,4,7,5,6,1,9,2,6,2,,3,2,7,5,"Marsh, Robert","Spiro, Stephen","Krishnamohan, Aishwarya","Dey, Sanchareeka","Upreti, Chahat","Villones, Rhiza Lyne",rmarsh,robert marsh
MATH,2415,001,2,7,5,4,8,4,3,13,1,,4,,6,2,"Zweck, John W",,,,,,jwz120030,john zweck
MATH,2418,006,13,10,6,5,5,2,2,2,3,5,,1,4,1,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
MATH,2418,007,17,10,4,5,8,2,6,3,1,,,1,1,1,"Dahal, Rabin",,,,,,rxd153030,rabin dahal
ACCT,6301,501,,34,13,7,1,,,1,,,,,,3,"Kromer, Jeffrey","Ajayi, Olamiposi O",,,,,jrk013000,jeffrey kromer
ACCT,6335,0W1,,6,13,10,20,5,1,3,,,,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,,tabortz,tiffany bortz
MIS,6308,001,,12,20,20,5,,,,,,,,,1,"Raghunathan, Srinivasan","Srivastava, Smriti",,,,,sraghu,srinivasan raghunathan
EE,4301,001,3,15,3,3,10,4,5,9,5,,,1,,1,"Heins, Matthew S","Abbas, Farhat","Gandluru, Veerabharathchandrareddy",,,,msh130130,matthew heins
MECH,3380,001,7,8,7,10,13,5,2,2,,1,,1,,3,"Malik, Arif","Yu, Haoliang",,,,,axm154531,arif malik
ACCT,3332,501,,5,3,3,2,5,5,3,5,3,7,10,3,5,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,,tabortz,tiffany bortz
OPRE,6332,002,,24,6,19,6,1,1,,,,,,1,1,"Sethi, Awanti","Venugopal, Diya",,,,,asethi,awanti sethi
PSY,2317,001,,7,5,3,7,3,4,5,2,7,3,2,6,6,"Juhn, Nancy H","Zhang, Ziwei","Carson, Kevin J",,,,njuhn,nancy juhn
CS,1335,001,3,21,2,4,19,3,3,2,1,,,,2,0,"Doore, Karen L",,,,,,kld054000,karen doore
CS,3340,004,,2,11,9,7,11,6,8,1,3,1,1,,0,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi
CS,3360,001,2,3,12,11,16,10,2,,,,2,1,,1,"Feng, Ranran","Zhang, Chenxu","Yu, Linlin",,,,rxf090020,ranran feng
CS,4361,001,3,19,3,6,13,6,2,4,,,1,,2,1,"Kumar, Pushpa S","Zhang, Chenxu",,,,,pkumar,pushpa kumar
CS,4390,502,6,10,8,8,13,14,,1,,,,,,0,"Hao, Shuang","Li, Shuo",,,,,sxh178730,shuang hao
CS,6360,501,,33,12,8,6,1,,,,,,,,0,"Davis, Chris I","Kong, Zelun",,,,,cid021000,chris davis
CS,6363,005,,12,13,19,10,4,,,,,,,2,0,"Huynh, Dung T","Guo, Jianxiong","Adebiyi, Abdulmateen A",,,,huynh,dung huynh
CS,6375,002,,36,17,4,,1,,1,,,,,,1,"Chida, Anjum","Li, Changbin",,,,,axc157030,anjum chida
ECS,1100,002,35,11,6,4,1,2,,,,,,,1,0,"Wright, Emelia M",,,,,,,emelia wright
ECS,1100,005,36,2,12,3,2,1,1,1,1,1,,,,0,"Aronson, Cara",,,,,,cxa190007,cara aronson
ECS,1100,006,32,5,7,3,2,3,2,1,3,1,,,1,0,"Tornakian, Marissa A",,,,,,mat190002,marissa tornakian
ECS,1100,011,35,6,4,3,4,2,2,2,1,,,1,,0,"Favors, Crystal N",,,,,,cnf150030,crystal favors
ECS,1100,014,32,3,6,1,3,3,1,3,2,1,,1,4,0,"Tornakian, Marissa A",,,,,,mat190002,marissa tornakian
ENGR,2300,502,5,4,3,2,8,4,6,2,4,1,3,3,9,6,"Khoobroo, Amir","Sheikhlari, Sepehr","Neethirajan, Deepika",,,,axk144831,amir khoobroo
MECH,3351,001,,15,13,13,13,4,,1,,,,,1,0,"Qian, Dong","Wang, Yang","Yi, Lu",,,,dxq120430,dong qian
PSCI,3350,001,5,1,5,10,14,4,4,2,2,2,1,1,2,7,"Stewart, Marianne","Eaton, John M",,,,,mstewart,marianne stewart
SOC,1301,0W1,7,17,6,9,4,3,1,,3,2,2,,5,1,"Davis, Garrett R","Malek-Ahmadi, John H",,,,,grd031000,garrett davis
ACCT,2302,001,,19,4,4,14,1,9,4,1,,1,,3,0,"Barden, John P","Thompson, Colby S",,,,,jpb063000,john barden
ACCT,2302,004,,8,10,8,4,6,7,2,4,,5,,6,0,"Kale, Devendra",,,,,,,devendra kale
ACCT,2302,005,8,4,5,2,9,7,7,4,4,,2,1,1,6,"Copat, Rafael","Thompson, Colby S",,,,,rxc190027,rafael copat
ACCT,3331,001,,17,7,,9,3,,13,,,5,,5,1,"Zhang, Yuan","Hoang, Quynh M",,,,,yxz122931,yuan zhang
ACCT,3331,002,,15,2,,17,8,,7,,,5,,6,0,"Zhang, Yuan","Hoang, Quynh M",,,,,yxz122931,yuan zhang
ACCT,3332,001,2,8,5,4,7,5,4,3,2,4,2,5,1,8,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,,tabortz,tiffany bortz
BCOM,3310,HON,1,47,5,5,2,,,,,,,,,0,"Lawson, Kristen A","Kumar, Anil",,,,,kal110030,kristen lawson
ENTP,3301,001,4,4,21,9,16,4,1,,1,,,,,0,"Nichols, Paul M",,,,,,pxn120030,paul nichols
ITSS,3300,005,3,30,6,5,12,1,2,1,,,,,,0,"Stephens, Timothy G","Zhang, Hong",,,,,tgs170130,timothy stephens
ITSS,3300,008,2,14,5,8,9,6,4,4,4,,2,,2,0,"Short, Kevin P","Luo, Ning",,,,,kps170330,kevin short
ITSS,3300,011,1,16,21,10,4,3,,1,,,1,,2,1,"Haseman, Charles","Sun, Kai",,,,,cxh180018,charles haseman
ITSS,3300,012,4,16,22,11,2,,1,2,,,,,2,0,"Haseman, Charles","Sun, Kai",,,,,cxh180018,charles haseman
ITSS,3300,014,,13,5,6,9,5,7,6,5,,3,,1,0,"Short, Kevin P","Luo, Ning",,,,,kps170330,kevin short
ITSS,3300,501,8,7,4,11,7,7,3,5,2,1,1,1,3,0,"Young, John G",,,,,,jgy190000,john young
MIS,6326,501,,10,20,17,13,,,,,,,,,0,"Mishra, Vivek","Natarajan, Bharath Kumar",,,,,vxm190016,vivek mishra
OBHR,3330,001,4,11,17,9,9,4,2,,2,,,1,1,0,"Ritchey, David B",,,,,,davidr,david ritchey
OBHR,3330,003,3,6,10,10,16,6,3,4,,,1,,1,0,"Weekley, Jeff A","Neumannova, Anita",,,,,jaw160330,jeff weekley
OBHR,3330,004,1,8,15,10,10,6,5,1,2,,,,1,1,"Meda, Edward","Shah, Nikhil",,,,,exm150330,edward meda
OBHR,3330,005,,10,19,9,13,3,,4,1,,,,1,0,"Meda, Edward","Shah, Nikhil",,,,,exm150330,edward meda
OPRE,3310,009,,15,,6,21,,5,12,,,,,,1,"Hogan, James W","Celik, Beyza",,,,,jwh085000,james hogan
OPRE,3310,010,36,16,,4,1,,2,1,,,,,,0,"Widdifield, David S","Zhang, Wen",,,,,dsw180001,david widdifield
OPRE,3360,001,6,15,13,1,8,7,1,3,1,1,1,1,2,0,"Oguzman, Neslihan","Birajdar, Namrata O",,,,,nxo170830,neslihan oguzman
OPRE,3360,002,11,4,2,6,6,6,5,1,10,1,,1,6,1,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar
OPRE,3360,003,9,5,10,5,9,7,2,2,5,,4,,,2,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi
OPRE,3360,005,17,5,4,5,6,9,5,4,4,,,,1,0,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi
OPRE,3360,007,8,7,4,4,9,12,6,4,1,2,,,1,2,"Naseri Taheri, Mohammad","Dai, Zicong",,,,,mxn121930,mohammad naseri taheri
OPRE,3360,008,5,20,,3,25,1,2,2,,,,,1,1,"Qi, Anyan","Dai, Zicong",,,,,axq140430,anyan qi
OPRE,3360,011,3,7,2,6,7,5,3,7,3,6,4,3,3,1,"Best, Robert E","Epari, Sameera",,,,,,robert best
OPRE,3360,012,7,9,6,8,7,6,,7,4,,,,2,4,"Naseri Taheri, Mohammad","Dai, Zicong",,,,,mxn121930,mohammad naseri taheri
OPRE,3360,501,1,22,,3,26,1,3,2,,,1,,1,0,"Qi, Anyan","Dai, Zicong",,,,,axq140430,anyan qi
OPRE,6371,001,,17,6,20,12,5,,,,,,,,0,"Hu, Bin","Birajdar, Namrata O",,,,,bxh180009,bin hu
ISNS,2368,001,2,9,11,9,13,3,1,2,1,3,2,,2,2,"McCauley, Steven","Timms, Christopher I",,,,,sxm165131,steven mccauley
MATH,2418,001,12,11,3,4,4,5,2,1,2,4,2,1,6,3,"Patel, Jigarkumar S",,,,,,jsp061000,jigarkumar patel
MATH,2418,002,10,8,5,6,3,4,5,4,4,2,,2,5,2,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
MATH,2418,501,13,7,1,6,11,2,8,2,3,1,1,2,2,1,"Dahal, Rabin",,,,,,rxd153030,rabin dahal
PHIL,2316,001,2,9,17,11,6,3,,,2,,,,8,3,"Dennis, Patrick W",,,,,,pdennis,patrick dennis
CLDP,3310,001,,47,,,10,1,,2,,,,1,,0,"Touchstone, Emily W","Poudel, Sonali",,,,,exw010200,emily touchstone
NSC,4362,001,6,12,6,6,5,1,3,4,3,,4,,6,5,"Ploski, Jonathan E",,,,,,jep101000,jonathan ploski
CS,2305,504,7,14,4,5,5,5,5,7,2,,3,,4,0,"Soncodi, Adrian C",,,,,,acs151130,adrian soncodi
CS,2337,501,30,10,1,2,3,,,4,,1,3,,6,1,"Sims, David",,,,,,dxs190044,david sims
CS,3354,001,2,27,9,5,12,5,,1,,,,,,0,"Cankaya, Ebru C","Li, Xiao",,,,,exc067000,ebru cankaya
OPRE,3333,003,4,11,7,4,4,3,7,3,2,,3,5,2,6,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar
CLDP,3303,001,4,13,,7,17,,5,4,,3,5,,3,1,"Maguire, Mandy","Moustafa, Rana",,,,,mjm053000,mandy maguire
CS,3340,002,,27,,,21,,,7,,,4,,3,0,"Goodrum, Richard A",,,,,,rag150330,richard goodrum
CS,4337,003,1,4,3,2,7,12,10,9,4,1,4,,2,3,"Salazar, Elmer E","Spence, Jackie C",,,,,ees101020,elmer salazar
CS,4341,501,20,7,8,8,6,3,,3,,,4,,2,1,"Becker, Eric W",,,,,,ewb160130,eric becker
CS,4347,502,17,25,15,5,,,,,,,,,,0,"Culver, Timothy L","Sahoo, Pracheta",,,,,tlc130230,timothy culver
CS,6363,002,,11,30,7,6,4,2,1,,,,,1,0,"Chandrasekaran, Ramaswamy","De, Partha",,,,,chandra,ramaswamy chandrasekaran
ACCT,2301,001,9,7,4,9,3,6,8,7,1,2,3,3,,0,"Chu, Yu Fang",,,,,,,yu fang chu
ACCT,2301,007,5,1,13,4,11,6,4,6,1,2,2,,4,3,"Sandhu, Gurvinder",,,,,,gxs162530,gurvinder sandhu
ACCT,2301,008,3,8,6,4,7,7,10,5,1,2,1,,3,5,"Markov, Stanimir","Ajayi, Olamiposi O",,,,,sxm079200,stanimir markov
CE,1202,001,9,5,2,10,6,4,3,4,2,5,1,3,6,2,"Cogan, Diana L",,,,,,dcc095020,diana cogan
ACCT,2301,501,12,3,3,4,5,6,2,4,2,2,8,,8,3,"Tatiparti, Venu Madhav",,,,,,vxt161930,venu madhav tatiparti
CS,4347,501,13,19,5,4,11,4,4,,,,,,2,1,"Khan, Ziaullah","Yu, Xinyue",,,,,kkhan,ziaullah khan
CS,6320,501,,5,24,15,18,1,,,,,,,,0,"Balakrishna, Mithun","Desai, Takshak","Hosseini, Seyyed Mohammadsaleh",,,,mxb026000,mithun balakrishna
CS,6375,501,,15,11,12,12,,,12,,,,,1,0,"Nagar, Anurag","Kaur, Navdeep",,,,,axn112530,anurag nagar
EE,4310,001,,19,2,4,12,2,2,11,7,,,,3,1,"Skinner, Neal G","Pu, Shi","Noor Shoudha, Shamman",,,,skinner,neal skinner
EPCS,2200,001,,38,5,6,13,1,,,,,,,,0,"Bennett, Terrell R",,,,,,trb052000,terrell bennett
ACCT,2301,002,6,4,4,5,7,5,2,7,,5,5,3,9,1,"Zhou, Yibin","Ajayi, Olamiposi O",,,,,yxz066000,yibin zhou
ACCT,2301,003,6,6,6,8,7,7,6,6,6,1,,,2,2,"Gencer, Nur Pinar",,,,,,,nur pinar gencer
ACCT,2301,004,9,7,5,11,6,4,4,11,,,1,4,,1,"Li, Chenchen",,,,,,,chenchen li
ACCT,2301,005,11,4,8,7,5,11,5,3,3,3,,3,,0,"Files, Rebecca L","Wilson, Ravin M",,,,,rlf092000,rebecca files
ACCT,2301,006,9,3,6,8,4,4,8,7,5,4,,2,2,1,"Files, Rebecca L","Wilson, Ravin M",,,,,rlf092000,rebecca files
ACCT,2301,009,2,5,10,6,5,10,6,11,,1,,,5,2,"Markov, Stanimir","Ajayi, Olamiposi O",,,,,sxm079200,stanimir markov
ACCT,6333,PP1,,31,3,,25,,,4,,,,,,0,"Zolton, Kathy","Gu, Dongdi",,,,,kxz121730,kathy zolton
ITSS,4353,001,7,,4,15,16,14,2,2,1,,1,,,1,"Singla, Pardeep Kumar","Mehta, Utsav K",,,,,,pardeep kumar singla
OPRE,3333,001,6,9,6,7,5,6,6,4,2,4,3,2,3,0,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar
MATH,4301,001,5,15,7,4,3,2,8,1,4,,1,6,6,1,"Dabkowski, Mieczyslaw K","Gelir, Fatih",,,,,mkd034000,mieczyslaw dabkowski
PSCI,4320,001,18,11,12,3,5,,,1,,1,1,,5,5,"Santoro, Lauren A","Dzanie, Raphael K",,,,,lar170530,lauren santoro
SPAU,3344,001,4,14,1,7,9,9,3,9,3,,1,1,2,0,"Powers, Katharine A","Eppes, Anna A",,,,,kap130730,katharine powers
NSC,4359,501,10,42,,,9,,,1,,,1,,1,0,"Rypma, Bart P","Himes, Lyndahl M",,,,,bpr061000,bart rypma
CS,2305,005,4,6,10,3,5,9,2,13,1,,1,,6,4,"Chitturi, Bhadrachalam",,,,,,chalam,bhadrachalam chitturi
CS,2336,501,8,23,12,5,6,,5,2,,,,,2,1,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
CS,5333,501,,15,18,14,7,5,,4,,,,,,1,"Chin, Wei-Pang",,,,,,wxc180013,wei pang chin
CS,6301,502,,21,9,10,13,7,3,1,,,,,,0,"Redfern, Arthur","Mohammadpour, Somayeh","Zhao, Chen",,,,axr180074,arthur redfern
ECS,1100,016,,48,2,6,2,1,3,,,,,,1,1,"Flores, Khaila",,,,,,kxf190005,khaila flores
SE,4351,001,6,6,6,4,4,5,7,11,6,8,,,1,0,"Chung, Lawrence","Ahn, Sung Soo",,,,,chung,lawrence chung
CS,1136,601,30,7,6,3,5,2,4,,,,,,6,2,"Vogel, Don G",,,,,,dgv130030,don vogel
CS,4337,501,22,9,6,6,7,4,4,1,1,,2,,3,0,"Karami, Gity","Ou, Yuzhe",,,,,gxk180009,gity karami
CS,4384,503,14,1,3,7,5,3,7,4,2,3,4,2,10,0,"Arnold, Gordon L","Chowdhury, Al Mehdi Saadat",,,,,gxa120930,gordon arnold
EE,1100,001,1,13,5,4,16,8,4,5,1,,3,,4,1,"Florence, James M","Taherkhani, Nima","Wang, Haokun","Pawaskar, Vaibhav Uttam","Salimath, Vibhav Kumarswami","Lin, Dayang",jmf130530,james florence
ACCT,6374,PPA,,15,19,22,9,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
