Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ATCM,4305,001,,3,2,5,2,1,,,,,,,,0,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell
AUD,7253,001,,11,1,1,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,scott griffiths
AUD,7310,001,,13,,,,,,,,,,,,0,"Clark, Jackie L",,,,,,jclark,jackie clark
HCS,7309,001,,8,2,,3,,,,,,,,,0,"Hart, John",,,,,,jxh057100,john hart
NSC,4353,102,,2,3,4,1,1,,,,,1,,1,0,"McWilliams, Steven P","Duong, Nhy Y","Wilhelm, Rachel",,,,sxm127330,steven mcwilliams
NSC,4353,103,,5,4,,,1,2,,,,1,,,0,"McWilliams, Steven P","Brougher, Jackson J",,,,,sxm127330,steven mcwilliams
PSY,3393,004,2,5,2,3,,,1,,,,,,,0,"Shirvani, Forouz","Hafiz, Mariam",,,,,fxk024000,forouz shirvani
BMEN,6366,001,,12,,,,1,,,,,,,,0,"Sirsi, Shashank R",,,,,,srs151630,shashank sirsi
CE,2305,504,1,,1,1,1,2,1,2,,1,1,,2,0,"Soncodi, Adrian C",,,,,,acs151130,adrian soncodi
CE,2336,005,,2,2,2,2,2,1,1,,,,,1,0,"Feng, Ranran",,,,,,rxf090020,ranran feng
CE,6301,001,,11,2,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,,wps100020,william swartz
CS,6304,001,,,1,3,2,5,1,,,,,,,1,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer
CS,7301,003,,13,,,,,,,,,,,,0,"Natarajan, Sriraam",,,,,,sxn177430,sriraam natarajan
EE,3110,101,1,2,1,,1,1,1,3,1,,1,,1,0,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee
EE,3202,001,,6,1,1,1,3,,1,,,,,,0,"Kiasaleh, Kamran","Shankar, Nikhil",,,,,kamran,kamran kiasaleh
EE,4388,004,,10,,2,1,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner
SE,3341,002,2,,1,2,2,2,1,,,,1,,2,0,"Whalen, Tristan G","Zimmer, Kevin C",,,,,tgw100020,tristan whalen
SE,4348,001,,1,1,3,2,1,1,1,,3,,,,0,"Ozbirn, Greg A","Mai, Kelvin K",,,,,ozbirn,greg ozbirn
GISC,2305,001,1,2,4,1,,1,1,1,,,,,2,0,"Dell, Brent",,,,,,bxd160430,brent dell
PSCI,6311,001,,4,4,4,,,,,,,,,,1,"Miller, Banks",,,,,,bxm093000,banks miller
AMS,4300,5H1,3,6,2,,1,,,,,,,,1,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
ED,3345,001,,5,5,,,1,1,,,,,,1,0,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
BPS,6332,501,,2,,,11,,,,,,,,,0,"Dess, Gregory","Li, Jianan",,,,,ggd021000,gregory dess
ENGY,3302,001,2,1,5,3,,1,,1,,,,,,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley
ENTP,4350,001,,5,,,8,,,,,,,,,0,"Shah, Rajiv","Dode, Shrutik G",,,,,rxs079000,rajiv shah
FERM,6305,FS1,,7,2,,1,2,,1,,,,,,0,"Song, Kaisheng",,,,,,,kaisheng song
