Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Kirk, Kristina E",,,,,,RHET,1302,036,,15,1,1,,,,,,,,,1,,,,,,1,kek160430,kristina kirk
"Sengupta, Karl",,,,,,RHET,1302,037,4,10,2,2,1,,,,,,,,,,,,,,0,kss140330,karl sengupta
"McIntosh, Suzanne K",,,,,,RHET,1302,504,,6,3,1,3,4,,,,,,1,,,,,,,0,skm130030,suzanne mcintosh
"Ingrao, Peter J","Kelso, Kristen",,,,,HUMA,1301,010,24,14,5,7,5,8,3,1,,,,,,,,,,,2,jingrao,peter ingrao
"Palant, Jonathan",,,,,,MUSI,1306,004,,21,6,4,2,4,1,2,,,2,,4,,,,,,3,jxp170230,jonathan palant
"Booker, Paul D",,,,,,ARTS,1316,004,4,2,4,1,1,2,1,,2,,,,,,,,,,1,pdb041000,
"Trosper, Elizabeth M",,,,,,ARTS,2380,501,1,7,,2,3,,1,1,,,,,2,,,,,,0,emt130130,elizabeth trosper
"Palmer, Marcy A",,,,,,ARTS,3372,002,,,5,11,1,,,,,,,,1,,,,,,0,mxp070100,marcy palmer
"Pettengill, Ryan S","Siddiqui, Farah",,,,,HIST,1301,008,2,36,8,10,12,1,6,2,,3,,,2,,,,,,3,rsp120030,ryan pettengill
"Starnaman, Sabrina","Thomas, Kathryn E",,,,,LIT,3316,501,21,16,7,19,9,5,3,3,3,,3,,,,,,,,0,sxs090100,sabrina starnaman
"Prieto, Rene",,,,,,LIT,3317,001,,10,4,4,12,9,1,11,,,,,2,,,,,,2,rxp113230,rene prieto
"Herndon, Scott",,,,,,LIT,3335,001,,1,13,18,3,1,,,1,,,,,,,,,,0,sxh021200,scott herndon
"Hatfield, Charles D",,,,,,LIT,3339,501,,7,13,8,,,,,,,,,2,,,,,,0,cxh074100,charles hatfield
"Evans, Kathryn C",,,,,,MUSI,3322,001,3,20,3,3,,,,,,,1,,,,,,,,0,kcevans,kathryn evans
"Gu, Ming D","Tang, Le",,,,,HUMA,1301,011,,15,4,9,5,3,9,9,3,3,1,1,1,,,,,,5,mdg073000,ming dong gu
"Brewer, Kenneth L","Cook, Nina E",,,,,HUMA,1301,012,11,32,8,6,4,3,1,1,1,1,1,,,,,,,,1,klb092000,kenneth brewer
"Walsh, Dennis P",,,,,,HUMA,1301,501,,14,,,20,,,8,,,1,,2,,,,,,2,dpw031000,dennis walsh
"Burnett, Lora D","Dunham, Daniel C",,,,,HIST,1301,009,9,41,11,9,5,3,5,2,1,,,,3,,,,,,1,ldb082000,lora burnett
"Baker, Barbara L",,,,,,COMM,1311,001,,,4,3,4,3,3,2,,,,,4,,,,,,1,blb140430,barbara baker
"Baker, Barbara L",,,,,,COMM,1311,002,1,3,7,4,7,1,,,1,,,,,,,,,,0,blb140430,barbara baker
"Totusek, Patricia F",,,,,,COMM,1311,003,5,9,4,1,2,1,,,,,,,,,,,,,2,pft140030,patricia totusek
"Totusek, Patricia F",,,,,,COMM,1311,004,12,6,2,2,1,,,,1,,,,,,,,,,0,pft140030,patricia totusek
"Arnold, Bob",,,,,,COMM,1311,005,5,9,4,,2,2,,,,,,,1,,,,,,0,bxa161430,bob arnold
