Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
HONS,3199,HN8,,11,,,,,,,,,,,,0,,,,,"Martinez, Manuel L",,,,,,mlm160630,manuel martinez
CE,1202,802,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,,dcc095020,diana cogan
EE,1202,801,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",,dcc095020,diana cogan
SE,3377,0W1,,3,,2,3,,1,1,1,,,,,1,,,,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
ACCT,6335,SW1,,5,,3,3,,,,,,,,,1,,,,,"Troutman, Amy B",,,,,,amybass,amy troutman
MUSI,3325,001,1,3,1,2,2,,1,,,,,,1,1,,,,,"Durbin, Kelly",,,,,,kpdurbin,kelly durbin
FIN,4315,001,,4,4,2,1,,,,,,,,,0,,,,,"Hyndman, Kyle B",,,,,,tdp062000,kyle hyndman
ED,4345,501,4,5,1,1,,,,,,,,,,1,,,,,"Weiner, Michelle L",,,,,,mxw051000,michelle weiner
NATS,3343,001,1,3,,1,3,1,,,1,,1,,,1,,,,,"McConnell, James S","Kirkland, Pamela I",,,,,jsm019600,james mcconnell
PA,2325,001,,7,2,1,1,,,,,,,,,1,,,,,"Goodman, Doug","Park, Yong Jun",,,,,dxg101000,doug goodman
FIN,6353,501,,3,2,2,2,2,,,,,,,,1,,,,,"Day, Theodore","Kirk, Steven B",,,,,tday,theodore day
MATH,3307,001,1,6,1,3,,,,,,,,,,1,,,,,"Andreescu, Titu",,,,,,,titu andreescu
SE,3377,502,,1,1,1,2,3,,,,,2,1,,1,,,,,"Perkins, Stephen J",,,,,,sxp127930,stephen perkins
ATCM,4306,001,,1,2,3,3,,,1,,,,1,,1,,,,,"Boyd, Elizabeth",,,,,,esp041000,elizabeth boyd
BIOL,2111,006,2,,,1,2,3,,,1,,1,1,,1,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth
ARTS,2380,501,2,6,1,,,1,,,,,,,2,0,,,,,"Carter, Rebecca S",,,,,,rsc150030,rebecca carter
OPRE,6398,003,,9,,1,2,,,,,,,,,0,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,,axa134231,athena alimirzaei
AUD,6V20,101,,12,,,,,,,,,,,,0,,,,,"Lobarinas, Edward","Clark, Jackie L","Trevino, Monica",,,,exl152130,edward lobarinas
ATCM,6301,001,,6,4,1,1,,,,,,,,,0,,,,,"Nadin, Mihai",,,,,,mxn044000,mihai nadin
CS,6382,001,,9,1,1,1,,,,,,,,,0,,,,,"Du, Ding Z","Gu, Shuyang",,,,,dxd056000,ding du
SYSM,6325,001,,12,,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,,arm130430,alixandre minden
BIOL,3102,006,1,2,1,,,3,2,,2,1,,,,0,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth
SYSM,6301,SS1,,10,2,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,,arm130430,alixandre minden
ATCM,6388,001,,10,2,,,,,,,,,,,0,,,,,"Knight, Kim A",,,,,,kak102020,kim knight
ACCT,6320,0W1,,4,3,1,3,1,,,,,,,,0,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,huseyin,huseyin cavusoglu
AUD,6318,001,,8,4,,,,,,,,,,,0,,,,,"Warner-Czyz, Andrea D",,,,,,adw052000,andrea warner czyz
MSEN,6324,001,,3,,3,4,1,,1,,,,,,0,,,,,"Quevedo-Lopez, Manuel",,,,,,mxq071000,manuel quevedo lopez
EE,3110,101,,7,1,2,1,,,1,,,,,,0,,,,,"Lee, Gil S","Choi, Ye I",,,,,gslee,gil lee
SMED,5304,501,,9,3,,,,,,,,,,,0,,,,,"Urquhart, Mary L","Taylor, Stephanie M","Stuart, Georgia K",,,,mlk023000,mary urquhart
