Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
PA,6348,0W1,,13,,,,,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
PA,6370,0W1,,5,4,,,,,1,,,,,,,,,,,"Tura, Memduh",,,,,,mxt115230,
PA,6382,0W1,,15,,3,,1,,,,,,,,,,,1,,"Searing, Elizabeth A","Wicker, Brandy M","Stevens, Sah-Jay",,,,yxl093000,young joo lee
PA,6387,0W1,,10,,,,,,,,,,,,,,,,,"Searing, Elizabeth A","Wicker, Brandy M","Stevens, Sah-Jay",,,,spm092000,sarah maxwell
PA,6399,501,,10,,,,,,,,,,,,,,,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill
PHIL,1301,001,2,33,,3,33,,4,24,,2,11,,4,,,,3,,"Amato, Lawrence A",,,,,,cxh165030,carl hasler
PHIL,1301,002,10,5,6,4,,1,1,,,,,,1,,,,1,,"Tsou, Jonathan Y",,,,,,cxh165030,carl hasler
PHIL,1307,001,,45,,4,36,,3,15,,,5,,4,,,,3,,"Amato, Lawrence A",,,,,,jfb170000,
PHIL,2303,001,4,2,3,2,4,2,3,,2,,1,,2,,,,3,,"Campos, Laura Graciela",,,,,,mxb091000,matthew brown
PHIL,4322,001,,5,1,3,,1,1,,,,,,,,,,1,,"Bambach, Charles R",,,,,,laa062000,lawrence amato
PHIL,4331,001,,4,5,,1,1,,,,1,,,3,,1,,1,,"Gonzalez Nunez, Humberto J",,,,,,cbambach,charles bambach
PHIL,4333,001,,10,,2,1,2,2,,,,,,1,,,,1,,"Davies, Katherine",,,,,,kxd180013,
PHIL,6325,001,,9,2,,,,,,,,,,,,,,,,"Davies, Katherine",,,,,,kxd180013,
PHIN,1120,001,,22,,,,,,,,,,,,,,,1,,"Gold, Terry",,,,,,yogagold,terry gold
PHIN,1120,002,,19,,,,,,,,,,,,,,,2,,"Gold, Terry",,,,,,yogagold,terry gold
PHIN,1121,001,,12,,,,,,,,,,,1,,,,1,,"Bell, John S",,,,,,jsb018200,john bell
PHIN,2125,001,,10,,,,,,,,,,,,,,,1,,"Gold, Terry",,,,,,yogagold,terry gold
PHYS,1100,001,1,,,,,,,,,,,,,29,,,,,"Goncalves Pinheiro, Alexandre",,,,,,avm074000,anton malko
PHYS,1101,101,3,18,2,4,1,,1,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Niloy, Md Shaid Hasan",,,,axk140130,amena khan
PHYS,1101,102,1,20,3,1,1,,,,2,,,,1,,,,,,"Khan, Amena L","Kadala, Roger H","Niloy, Md Shaid Hasan",,,,axk140130,amena khan
PHYS,1101,103,,26,2,1,,,,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Koirala, Babita",,,,axk140130,amena khan
PHYS,1101,104,5,19,3,,,1,,1,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Ali, Akbar",,,,axk140130,amena khan
PHYS,1101,105,,20,7,,,,1,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Desai, Amogh N",,,,axk140130,amena khan
PHYS,1101,106,,20,5,,1,1,1,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Desai, Amogh N",,,,axk140130,amena khan
PHYS,1101,107,1,22,2,2,1,1,,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Ali, Akbar",,,,axk140130,amena khan
PHYS,1101,601,,16,2,3,2,1,2,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Koirala, Babita",,,,axk140130,amena khan
PHYS,1102,101,11,12,,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Imran, Tuhin Muhammad",,,,paulmac,paul macalevey
PHYS,1102,102,,13,11,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya",,,,,paulmac,paul macalevey
PHYS,1102,103,12,9,2,,1,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Kamble, Nisha Vinay",,,,paulmac,paul macalevey
PHYS,1102,104,2,7,14,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Rezvani, Sina",,,,paulmac,paul macalevey
PHYS,1102,105,4,15,2,2,1,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Rezvani, Sina",,,,paulmac,paul macalevey
PHYS,1102,106,6,12,2,,,1,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Seifi, Melodee O","Xie, Yunan",,,paulmac,paul macalevey
