Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CHEM,2125,1U3,4,5,,2,1,,,,,,,,,0,"Tran, Daniel N","Hernandez, Jayoh A","Franciskovich, Matthew R",,,,dnt019000,daniel tran
MATH,2413,0S1,1,1,5,,3,,1,,,,1,,,0,"Alvarado, Iris",,,,,,ila180000,iris alvarado
MATH,4301,0U1,1,1,,,3,3,1,,,,1,,2,0,"Dabkowski, Mieczyslaw K","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,,mkd034000,mieczyslaw dabkowski
COMD,7V82,0U1,,6,6,,,,,,,,,,,0,"Cokely, Carol G","Escabi, Celia D",,,,,cgc016200,carol cokely
ATCM,2302,051,2,5,,3,2,,,1,,,,,,0,"Minnish, Roxanne W",,,,,,rwm061000,roxanne minnish
AUD,7240,5U1,,13,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,scott griffiths
AUD,7325,5S1,,10,3,,,,,,,,,,,0,"Thibodeau, Linda K",,,,,,thib,linda thibodeau
HDCD,6370,0U1,,12,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing
CS,1134,1U1,4,1,1,,2,,1,,1,,,,2,1,"Arnold, Gordon L","Zi, Yuxin",,,,,gxa120930,gordon arnold
CS,3345,0U2,,2,,3,1,1,1,2,2,1,,,,0,"Ozbirn, Greg A","Li, Xiaodi",,,,,ozbirn,greg ozbirn
CS,4348,0U2,6,,2,1,1,,2,,,,1,,,0,"Ghanbari, Ali","Hu, Linghuan",,,,,,ali ghanbari
EERF,7V89,0W1,,9,1,2,1,,,,,,,,,0,"Henderson, Rashaunda M",,,,,,rmh072000,rashaunda henderson
IPEC,4308,0U1,3,5,,2,1,1,1,,,,,,,0,"Taden, John",,,,,,jxt161530,john taden
MKT,3300,0U1,,2,1,5,,,3,2,,,,,,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
MKT,6337,5U1,,,3,3,4,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,,sxc180075,sourav chatterjee
OPRE,4310,5U1,6,6,,,1,,,,,,,,,0,"Kohankie, Robert W",,,,,,rwk130030,robert kohankie
REAL,6321,5U1,,3,2,,8,,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery
BIOL,3101,0U4,1,2,5,2,,,,,3,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth
MATH,2312,0U1,2,2,1,,3,,,1,1,,,,3,0,"Aman, Kelly","Lama, Sonam",,,,,kxa143530,kelly aman
ARTS,1316,0U1,,3,2,2,6,,,1,,,,,,0,"Metz, Greg L","Pomara, John",,,,,glmetz,greg metz
COMM,1311,0H1,3,4,5,1,,1,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0H4,7,2,2,,1,,,,,,,,2,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi
RHET,1302,0S1,,,5,,3,3,,1,,,1,,1,0,"Sinckler, Robin",,,,,,rxs150131,robin sinckler
ATCM,3367,5U1,2,3,2,1,1,2,1,1,1,,,,,0,"Billingslea, Steven L",,,,,,slb073000,steven billingslea
NSC,4353,1U3,,2,8,3,,,,,1,,,,,0,"Raboune, Siham","Driskill, Christopher M","Szabo-Pardi, Thomas A","Garner, Katherine M",,,sxr180071,siham raboune
BMEN,3320,051,3,3,1,3,2,,,1,,,,,1,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali
CS,1334,0U1,,4,3,1,1,,3,,,,,,2,0,"Arnold, Gordon L","Hu, Linghuan",,,,,gxa120930,gordon arnold
CS,3345,5U1,,2,1,2,4,3,1,,1,,,,,0,"Khan, Ziaullah","Li, Changbin",,,,,kkhan,ziaullah khan
CS,6301,0U1,,8,5,1,,,,,,,,,,0,"Nagar, Anurag","Ashtiani, Omeed E","Hosseini, Seyyed Mohammadsaleh",,,,axn112530,anurag nagar
CS,6314,5U1,,10,2,1,,,,,,,,,,1,"Min, Richard K","Patel, Dhruvkumar R",,,,,rkm010300,richard min
ECS,3390,093,,4,2,1,4,,1,1,1,,,,,0,"Glauser, Janece B",,,,,,jbg130030,janece glauser
FIN,3305,5U1,,2,1,,3,1,,2,1,,4,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery
ITSS,4340,0U1,,2,3,3,4,1,1,,,,,,,0,"Thompson, Luell O",,,,,,lot013000,luell thompson
OB,6301,5U2,,6,5,1,1,,,,,,,,,1,"Olsztynska, Agnieszka",,,,,,axo027000,agnieszka olsztynska
OBHR,4300,0U1,8,4,,1,,,,,,,,,,1,"Edgington, Kyle D",,,,,,kde081000,kyle edgington
OPRE,3333,0U1,2,3,1,3,1,,1,,,,,1,1,1,"Enayaty Ahangar, Negin","Qu, Zihao",,,,,nxe180001,negin enayaty ahangar
BIOL,3520,3U2,,5,3,2,3,1,,,,,,,,0,"Mehta, Iti",,,,,,ixm121430,iti mehta
GEOS,3300,0S1,,4,1,3,2,3,,,1,,,,,0,"Geissman, John W",,,,,,jwg102020,john geissman
MATH,1314,0S1,,4,1,,2,2,1,1,,,1,,2,0,"Nguyen, Mylinh T","Folarin, Samson B",,,,,mln018200,mylinh nguyen
MATH,3310,0U1,1,3,1,2,,1,1,1,1,1,,,2,0,"Dabkowski, Mieczyslaw K","Chowdhury, Md Mujibur Rahman",,,,,mkd034000,mieczyslaw dabkowski
HIST,3328,091,,1,2,4,2,1,2,,1,,1,,1,0,"Dennis, Patrick W",,,,,,pdennis,patrick dennis
LIT,2331,051,8,3,2,,1,1,,,,,,,,0,"Boyer, Kent L",,,,,,klb140030,kent boyer
SPAN,2341,0S1,13,2,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez
CLDP,3342,0U1,1,4,4,2,1,1,,1,,,,1,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot
NSC,4352,0U1,1,4,1,3,3,2,,1,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
SPAU,4394,051,,7,,2,2,,2,1,1,,,,,0,"Kaplan, Karen",,,,,,kkaplan,karen kaplan
CE,3320,0U2,1,1,4,4,3,1,,,,,,,1,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,,,niraj shakhakarmi
MECH,4382,0U1,,5,,3,1,2,3,,1,,,,,0,"Hart, Robert A","Koeln, Justin P","Upasham, Sayali S",,,,rxh124630,robert hart
CRIM,3310,0U1,1,1,5,5,,1,,,,1,,,,1,"Gammell, Sarah P",,,,,,spg160530,sarah gammell
BPS,4305,5E1,6,2,3,,1,1,,1,,,,,1,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
MIS,6364,0W1,,7,4,4,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan
OPRE,6301,5U2,,4,2,2,3,1,1,1,,,,,,1,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,,meb049000,monica brussolo
OPRE,6342,PU1,,11,3,1,,,,,,,,,,0,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani
OPRE,6376,PS1,,9,4,1,1,,,,,,,,,0,"Szot, James","Hicks, Jeffrey N",,,,,,james szot
BIOL,3380,1U3,2,2,4,1,,3,,1,1,1,,,,0,"Rippel, Scott A","Chen, Hao",,,,,rippel,scott rippel
HMGT,3301,5U1,,10,,,5,,,,,,,,,0,"Berrett, Britt R","Wylie, Mary",,,,,brb051000,britt berrett
RHET,1302,091,1,3,6,1,1,1,,1,,,,,2,0,"Crawford, Rachel",,,,,,rxc161430,rachel crawford
PSY,3339,0U1,,4,1,2,1,,2,3,1,1,,,,1,"Huxtable-Jester, Karen J",,,,,,kxh014900,karen huxtable jester
BMEN,3350,051,1,4,1,3,3,3,,1,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali
CS,4141,6U1,12,,4,,,,,,,,,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,,nhutnn,nhut nguyen
CS,6378,0U1,,3,4,4,5,,,,,,,,,0,"Mittal, Neeraj","Varanasi, Sarat Chandra",,,,,nxm020100,neeraj mittal
ECS,3390,051,3,4,2,3,3,,,,,,,1,,0,"Moore, Lindsay E",,,,,,lem150330,lindsay moore
ED,4358,0W1,,5,1,1,2,,,,4,,,,1,2,"Root, Alexey",,,,,,aroot,alexey root
ACCT,3331,5U1,3,2,1,1,1,,2,2,3,,,,,1,"Zhou, Yibin","Li, Chenchen",,,,,yxz066000,yibin zhou
ACCT,3341,0U1,,3,4,2,1,2,1,1,,,1,,1,0,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,3350,5U1,1,1,,1,5,1,,2,1,,,3,1,0,"Gamino, John P",,,,,,jpg140630,john gamino
