Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
MECH,4382,001,,2,5,1,3,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Wilt, James C",,,,rxh124630,robert hart
AMS,4300,001,13,,,,,,,,,,,,,,"Starke, Tamera",,,,,,txs180008,tamera starke
ED,4363,001,,5,5,,2,1,,,,,,,,,"Leek, Patricia A",,,,,,santine,patricia leek
ENTP,3360,001,1,,2,,3,3,1,2,1,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo
HMGT,6331,CH1,,10,2,,1,,,,,,,,,,"Jacob, Stephen",,,,,,,stephen jacob
SYSM,6312,SS1,,4,3,1,3,2,,,,,,,,,"Sanderson, Scott",,,,,,,scott sanderson
CHEM,6V69,501,,12,1,,,,,,,,,,,,"Lee, Jiyong",,,,,,jxl127631,jiyong lee
MATH,3303,001,2,1,3,3,2,,,,1,1,,,,,"Lalani, Amin",,,,,,axl120130,amin lalani
PHYS,4386,501,4,4,3,,1,1,,,,,,,,,"Lou, Xinchou",,,,,,xinchou,xinchou lou
BIOL,6252,001,,,,,,,,,,,,,,,"Kim, Tae Hoon",,,,,,txk142630,tae hoon kim
AUD,7V82,001,,,,,,,,,,,,,,,"Thibodeau, Linda K",,,,,,thib,linda thibodeau
AUD,7338,001,,4,5,2,1,,,,,,,,,,"Cokely, Carol G","Fowler, Stephanie L",,,,,cgc016200,carol cokely
SE,6356,MS1,,6,,2,1,,2,,,,,,1,,"Marcus, Andrian","Chaparro Arenas, Oscar Javier",,,,,axm141731,andrian marcus
HUSL,6308,001,,6,1,4,1,1,,,,,,,,,"Cotter, Sean J",,,,,,sjc010100,sean cotter
BUAN,6346,003,,8,5,,,,,,,,,,,,"Perez, Jerry","Sharma, Supriya",,,,,jxp180019,jerry perez
AUD,7327,001,,8,3,1,1,,,,,,,,,,"Lobarinas, Edward",,,,,,exl152130,edward lobarinas
PPPE,6329,501,,8,3,1,1,,,,,,,,,,"Leaf, Murray J",,,,,,mjleaf,murray leaf
ARTS,3315,001,5,8,,,,,,,,,,,1,,"Curry, Val",,,,,,vxc110930,val curry
CRWT,3330,001,,5,4,,2,1,1,1,,,,,,,"Vincent, Shelby D",,,,,,sdv034000,shelby vincent
LIT,3319,001,,3,1,5,,1,1,1,,,,,2,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman
THEA,2371,001,11,2,,,,,,1,,,,,,,"Trevino, Christopher L",,,,,,clt140330,christopher trevino
HDCD,6312,001,,9,4,,1,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing
NSC,4353,103,1,1,6,2,3,1,,,,,,,,,"McWilliams, Steven P","Driskill, Christopher M",,,,,sxm127330,steven mcwilliams
MECH,4381,003,,2,3,6,3,,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Park, Wooram",,,,rxh124630,robert hart
SOC,3315,HN1,2,11,1,,,,,,,,,,,,"De Olivares, Karen L",,,,,,kxd124130,karen de olivares
HONS,3199,H11,,13,1,,,,,,,,,,,,"Ubellacker, Jessalyn",,,,,,,jessalyn ubellacker
ENTP,3320,001,,3,2,1,7,1,,,,,,,,,"Wright, Robert G",,,,,,rgw091000,robert wright
OBHR,3310,503,1,2,2,4,3,,1,,,,,,1,,"Boncoeur, Olivier D",,,,,,,olivier boncoeur
BIOL,4380,301,,3,1,4,,2,1,,1,2,,,,,"Borovkov, Irina G","Brathaban, Nivetha",,,,,ixb053000,irina borovkov
STAT,6390,001,,13,,,,,,,,,,,1,,"Chiou, Sy Han",,,,,,sxc172931,sy han chiou
MECH,3120,108,6,5,2,1,,,,,,,,,,,"Hassanipour, Fatemeh","Jiang, Lin",,,,,fxh091000,fatemeh hassanipour
SE,3354,002,,,5,1,1,3,1,,2,1,,,,,"Paulk, Mark C","Chaparro Arenas, Oscar Javier","Dong, Hailiang",,,,mcp130030,mark paulk
PA,3378,001,6,3,2,1,1,1,,,,,,,,,"Hoang, Trang T",,,,,,tth130030,trang hoang
SOC,2300,001,1,3,1,3,5,,,,,,1,,,,"Smith, Erin",,,,,,erins,erin smith
HONS,3114,HN1,2,12,,,,,,,,,,,,,"Thompson, Christina M",,,,,,cmt120030,christina thompson
HONS,3199,H12,9,5,,,,,,,,,,,,,"Basuray, Soumik",,,,,,,soumik basuray
HONS,3199,HN1,3,8,3,,,,,,,,,,,,"Rippel, Scott A","Thompson, Christina M",,,,,rippel,scott rippel
BIOL,4360,001,2,2,1,2,1,1,1,,,,2,1,1,,"Pickett, Elizabeth A",,,,,,eaw016100,elizabeth pickett
MUSI,2325,001,5,4,1,,1,,,1,,,,,2,,"Hughes, William K",,,,,,wkh150030,william hughes
BMEN,6V87,005,,13,,1,,,,,,,,,,,"Porter, Benjamin A",,,,,,bap061000,benjamin porter
CS,6301,004,,5,2,4,,,,,,,,,3,,"Hamlen, Kevin",,,,,,kxh060100,kevin hamlen
ACCT,6334,501,,1,4,2,2,3,2,,,,,,,,"Hes, Christopher A","Anwer, Jordan J",,,,,cah041000,christopher hes
HONS,3199,H15,1,7,5,,,,,,1,,,,,,"Harrington, James","Park, Yong Jun",,,,,jxh134630,james harrington
MIS,6364,501,,3,3,5,3,,,,,,,,,,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan
CRWT,3307,002,,12,2,,,,,,,,,,,,"Kimzey, Blake G",,,,,,bgk140130,blake kimzey
CRWT,3351,HN1,2,8,3,,1,,,,,,,,,,"Leverone, Julia",,,,,,jxl162631,julia leverone
ATCM,4379,002,5,1,8,,,,,,,,,,,,"Chandler, Adam W",,,,,,awc051000,adam chandler
AUD,6V20,102,,14,,,,,,,,,,,,,"Lobarinas, Edward","Warner-Czyz, Andrea D","Wiseman, Kathryn","Grinn, Sarah",,,exl152130,edward lobarinas
AUD,7324,001,,5,5,2,1,1,,,,,,,,,"Warner-Czyz, Andrea D","Wiseman, Kathryn",,,,,adw052000,andrea warner czyz
BMEN,6V87,006,,9,2,,2,,1,,,,,,,,"Varner, Victor",,,,,,vxv162230,victor varner
CE,4388,003,,9,1,,2,1,1,,,,,,,,"Skinner, Neal G",,,,,,skinner,neal skinner
EE,3111,102,,8,2,,3,,,1,,,,,,,"Lee, Gil S","Cheng, Qi",,,,,gslee,gil lee
MECH,4381,004,,4,3,3,3,1,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Dai, Xianming",,,,rxh124630,robert hart
SE,3341,004,3,1,,1,1,1,2,3,,,1,,1,,"Whalen, Tristan G","Rajapaksha, Rajapaksha Mudalige S",,,,,tgw100020,tristan whalen
SE,6367,MS1,,14,,,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong
ED,3342,001,,13,,,1,,,,,,,,,,"Parker, Teresa L",,,,,,tparker,teresa parker
ED,3345,001,,7,4,,1,2,,,,,,,,,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
ED,4344,501,1,4,5,4,,,,,,,,,,,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman
