Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CHEM,1311,0U1,3,1,6,6,6,3,1,1,3,1,,1,6,,,,2,,"Sra, Amandeep K","Shende, Prapti M","Subramanian, Yaamini",,,,aks057000,amandeep sra
CHEM,1312,0U1,5,10,10,8,11,17,5,10,9,,3,1,6,,,,,,"Huang, Yu","Bonnand, Evan F","Howlett, Thomas S",,,,dieckgr,gregg dieckmann
CHEM,2233,3U1,11,5,2,,,,,,,,,,,,,,,,"Cortes, Sergio","Neal, Henry","Deo, Nitish Kumar","Al-Kharji, Noora M","Rajapaksha Mudiyanselage, Gaveshika Madushani Rajapaksha","Ehrman, Ryanne N",scortes,sergio cortes
CHEM,2323,0U1,11,12,4,3,6,4,6,3,5,4,8,,10,,,,,,"Tran, Daniel N",,,,,,sibertj,john sibert
CHEM,2325,0U1,7,2,2,1,5,4,6,4,4,1,1,,3,,,,,,"Sibert, John W",,,,,,scortes,sergio cortes
CHEM,3361,0U1,,2,4,2,1,1,,,,,,,,,,,,,"Boyd, Stefanie D","Candas, Mehmet",,,,,candas,mehmet candas
CHEM,8V91,039,,,,,,,,,,,,,,,,,1,10,"Meloni, Gabriele",,,,,,gxm152330,gabriele meloni
CHEM,8V91,046,,,,,,,,,,,,,,,,,,10,"Fasan, Rudi",,,,,,,rudi fasan
CLDP,3342,0W1,,18,,,4,,,1,,,1,,,,,,,,"Bonner, Deborah","Gholap, Neha P",,,,,dbonner,deborah bonner
COMD,5340,0H1,,21,,,3,,,,,,,,,,,,,,"Neale, Hannah D","Cullinan, McKenzie B",,,,,hxp121030,hannah pourchot neale
COMD,6101,0W1,,,,,,,,,,,,,,,,,,11,"Dean, Lucinda L",,,,,,lxl018300,
COMD,6106,0W1,,,,,,,,,,,,,,,,,,10,"Sale, Felicity F",,,,,,ffs013000,
COMD,6109,0W1,,,,,,,,,,,,,,,,,,12,"Kenedi, A Helen I",,,,,,kenedi,
COMD,6112,0W1,,,,,,,,,,,,,,,,,,18,"Walsh, Diane G",,,,,,dxg022000,diane walsh
COMD,6240,0U1,,15,,,,,,,,,,,,,,,,,"Touchstone, Emily W",,,,,,exw010200,emily touchstone
COMD,6320,0U1,,19,,,3,,,,,,,,,,,,,,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,
COMD,7303,0U1,,89,,,14,,,1,,,,,,,,,,,"Dean, Lucinda L","Kenedi, A Helen I",,,,,lxl018300,
COMD,7323,0U1,,13,,,3,,,,,,,,,,,,,,"Sweeney, Melissa H",,,,,,msweeney,
COMD,7V68,0U1,,54,,,,,,,,,,,,,,,,,"Sale, Felicity F",,,,,,ffs013000,
COMD,7V86,0U1,,24,1,,,,,,,,,,,,,,,,"Rich, Judith B","Sharma, Susmi",,,,,jbm014600,
COMM,1311,0H1,10,2,,1,,,,,,,,,,,,,1,,"Tanner, Lari J",,,,,,aam141730,allison templeton
COMM,1311,0W1,6,2,1,6,1,,1,1,,1,,1,3,,,,,,"Sova, Melodee L",,,,,,contemp,karen baynham
COMM,1311,0W2,5,4,5,3,5,,1,,,,,,1,,,,,,"Fraley, James M",,,,,,aam141730,allison templeton
COMM,1311,0W3,,11,8,,,,,,1,,,1,,,,,,,"Mckee-Williams, Candie D",,,,,,aam141730,allison templeton
COMM,1315,0W1,13,3,1,1,,1,,,,,,,1,,,,,,"Saenz, Michael A",,,,,,jxw174630,jason warren
COMM,3352,0W1,,14,,1,1,1,2,,,1,,,,,,,,,"Johnson, Janet L",,,,,,jlj065000,janet johnson
COMM,4380,0S1,,10,2,6,2,2,,2,1,,,,2,,,,,,"King, Carie S",,,,,,cxl085200,carie king
CRIM,1307,0U1,2,,6,1,1,,,,,,,1,,,,,,,"Lee, Jaebom","Olszewski, Hailey",,,,,dxd171830,dragana derlic
CRIM,3301,0W1,7,7,5,2,2,,,,,,,,1,,,,,,"Manuel, Samantha A",,,,,,mxs158030,samantha manuel
CRIM,3302,0W1,3,6,3,1,,,,,1,,,,,,,,,,"Hong, Sunmin",,,,,,peo091000,elmer polk
CRIM,3310,0W1,,15,4,6,7,3,,2,,,1,1,1,,,,,,"Yoon, Minyeong","Escobedo, Allison E",,,,,spg160530,sarah gammell
CRIM,6314,5U1,,11,1,,,,,,,,,,,,,,,,"Getty, Ryan M","Wang, Wenyi",,,,,rmg075000,
CRWT,2301,0W2,6,3,1,,2,1,,,,,,,,,,,,,"Baker, Matthew W",,,,,,mwb190002,matthew baker
CRWT,3306,5W1,3,8,,,,,,1,,,,,,,,,,,"Martinez, Manuel L",,,,,,mlm160630,manuel martinez
CRWT,3354,0W1,1,7,4,,1,1,,,,,,,,,,,,,"Goldberg, Paula",,,,,,pxg180023,paula goldberg
CRWT,3354,5W2,,11,1,1,1,,,,,,,,,,,,,,"Goldberg, Paula",,,,,,pxg180023,paula goldberg
CS,1325,0U1,,2,5,2,,2,,1,,,,1,,,,,,,"Feng, Ranran","Hatfield, Cody R",,,,,mcp130030,mark paulk
CS,1335,5U1,,5,5,2,,,,,,,,,,,,,,,"Davis, Chris I","Miao, Miao",,,,,sxe190003,serdar erbatur
